movie_id,studio
tt0305357,Columbia Pictures
tt1535108,Sony Pictures Releasing
tt1483013,Universal Pictures
tt3717490,Lionsgate
tt0243585,Columbia Pictures
tt1234721,Columbia Pictures
tt0296572,Universal Pictures
tt3113456,
tt0811080,Warner Bros.
tt0399201,DreamWorks Distribution
tt1341188,Columbia Pictures
tt1013743,Twentieth Century Fox
tt1270797,Columbia Pictures
tt0198781,Buena Vista Pictures
tt1430132,Twentieth Century Fox
tt0118928,Universal Pictures
tt2381991,Universal Pictures
tt0245562,Mayer
tt1320261,Twentieth Century Fox
tt3411444,Twentieth Century Fox
tt5463162,Twentieth Century Fox
tt1454468,Warner Bros.
tt0477347,Twentieth Century Fox
tt2126355,Warner Bros.
tt0472181,Columbia Pictures
tt0337978,Twentieth Century Fox
tt0349903,Warner Bros.
tt0120347,United Artists
tt0187393,Columbia Pictures
tt1253863,Warner Bros.
tt0338751,Miramax
tt1355644,Columbia Pictures
tt0990407,Columbia Pictures
tt1935859,Twentieth Century Fox
tt0433035,Walt Disney Studios Motion Pictures
tt2283336,Columbia Pictures
tt0429493,Twentieth Century Fox
tt2017020,Columbia Pictures
tt1111422,Columbia Pictures
tt1731141,Lionsgate
tt0299172,Buena Vista Pictures
tt0120179,Twentieth Century Fox
tt0320661,Twentieth Century Fox
tt1219827,Paramount Pictures
tt0327437,Buena Vista Pictures
tt0120737,New Line Cinema
tt0312528,Universal Pictures
tt0248667,Columbia Pictures
tt3659388,Twentieth Century Fox
tt3640424,Paramount Pictures
tt0343818,Twentieth Century Fox
tt0164912,Columbia Pictures
tt0780521,Walt Disney Studios Motion Pictures
tt0443649,Warner Bros.
tt3416828,Twentieth Century Fox
tt0141907,New Line Cinema
tt4649466,Twentieth Century Fox
tt0187078,Buena Vista Pictures
tt0172495,DreamWorks Distribution
tt1620680,Walt Disney Studios Motion Pictures
tt1152836,Universal Pictures
tt0381061,Columbia Pictures
tt0181689,Twentieth Century Fox
tt4701182,Paramount Pictures
tt1371111,Warner Bros.
tt0295297,Warner Bros.
tt0103064,TriStar Pictures
tt0112462,Warner Bros.
tt0133152,Twentieth Century Fox
tt0368891,Buena Vista Pictures
tt1853728,The Weinstein Company
tt8579674,Universal Pictures
tt0970866,Universal Pictures
tt0111503,Twentieth Century Fox
tt0765429,Universal Pictures
tt0844471,Columbia Pictures
tt1386588,Columbia Pictures
tt0339291,Paramount Pictures
tt0993846,Paramount Pictures
tt0848537,Twentieth Century Fox
tt0116213,Warner Bros.
tt0116583,Buena Vista Pictures
tt0120917,Buena Vista Pictures
tt1764651,Lionsgate
tt0386117,Warner Bros.
tt0449010,Fox 2000 Pictures
tt1267297,Paramount Pictures
tt1243957,Sony Pictures Releasing
tt0146675,Universal Pictures
tt5814534,Twentieth Century Fox
tt0327162,Paramount Pictures
tt0423294,Columbia Pictures
tt0450259,Warner Bros.
tt6924650,Lionsgate
tt1219342,Warner Bros.
tt0120201,Sony Pictures Releasing
tt0457400,Universal Pictures
tt0316396,Universal Pictures
tt6428676,Paramount Pictures
tt0327554,Warner Bros.
tt2333784,Lionsgate
tt0133240,Buena Vista Pictures
tt0947810,Universal Pictures
tt1981128,Warner Bros.
tt2058673,Warner Bros.
tt5697572,Universal Pictures
tt1390411,Warner Bros.
tt2209764,Warner Bros.
tt0362165,New Line Cinema
tt1571234,Universal Pictures
tt0180052,Warner Bros.
tt3089630,Disney+
tt2452042,Twentieth Century Fox
tt3513498,Warner Bros.
tt4532826,Lionsgate
tt0209163,Universal Pictures
tt0217505,Miramax
tt2316204,Twentieth Century Fox
tt1661199,Walt Disney Studios Motion Pictures
tt1667889,Twentieth Century Fox
tt0265086,Columbia Pictures
tt1261945,Warner Bros.
tt0814255,Twentieth Century Fox
tt1790886,Warner Bros.
tt0477080,Twentieth Century Fox
tt0119116,Columbia TriStar
tt0138749,DreamWorks Distribution
tt0380510,Paramount Pictures
tt2638144,Paramount Pictures
tt1121096,Universal Pictures
tt0266543,Buena Vista Pictures
tt0167260,New Line Cinema
tt0167261,New Line Cinema
tt0146316,Paramount Pictures
tt5026378,20th Century Fox Home Entertainment
tt0163025,Universal Pictures
tt1318514,Twentieth Century Fox
tt0416236,Nickelodeon Movies
tt0317705,Buena Vista Pictures
tt1606378,Twentieth Century Fox
tt0318974,Buena Vista Pictures
tt0112760,Mayer
tt0359950,Twentieth Century Fox
tt2283362,Columbia Pictures
tt0119654,Columbia Pictures
tt0120363,Buena Vista Pictures
tt0266915,New Line Cinema
tt0988045,Warner Bros.
tt1080016,Twentieth Century Fox
tt1502397,Columbia Pictures
tt0161081,DreamWorks Distribution
tt1436562,Twentieth Century Fox
tt7131622,Sony Pictures Home Entertainment
tt0407887,Warner Bros.
tt0160127,Columbia Pictures
tt0120762,Buena Vista Pictures
tt3794354,Paramount Pictures
tt0942385,Paramount Pictures
tt1568346,Columbia Pictures
tt0118884,Warner Bros.
tt0960144,Columbia Pictures
tt0112864,Twentieth Century Fox
tt2404435,Columbia Pictures
tt2974918,Twentieth Century Fox
tt0230011,Buena Vista Pictures
tt0985699,Mayer
tt2120120,Columbia Pictures
tt0338094,Buena Vista Pictures
tt0164052,Columbia Pictures
tt0373926,Universal Pictures
tt1854564,Twentieth Century Fox
tt0325703,Paramount Pictures
tt3110958,Lionsgate
tt0266987,Universal Pictures
tt0120053,Paramount Pictures
tt0183523,Buena Vista Pictures Distribution
tt1365519,Warner Bros.
tt0182789,Buena Vista Pictures
tt0349683,Buena Vista Pictures
tt0120461,Twentieth Century Fox
tt0118972,Columbia Pictures
tt0267626,Paramount Pictures
tt0816462,Lionsgate
tt1509767,Summit Distribution
tt7232438,GDH 559
tt1041804,Freestyle Releasing
tt5519340,
tt0478855,
tt0117998,Warner Bros.
tt0352248,Universal Pictures
tt3829266,Twentieth Century Fox
tt0120667,Twentieth Century Fox
tt0212985,Mayer Distributing Corporation
tt0329575,Universal Pictures
tt0162222,Twentieth Century Fox
tt0366548,Village Roadshow Entertainment
tt0240772,Warner Bros.
tt0372183,Universal Pictures
tt0118571,Columbia Pictures
tt1013752,Universal Pictures
tt0451079,Twentieth Century Fox
tt1840309,Lionsgate
tt0837562,Columbia Pictures
tt0448115,Warner Bros.
tt0461770,Walt Disney Studios Motion Pictures
tt1599348,Universal Pictures
tt0496806,Warner Bros.
tt1230414,Universal Pictures
tt0120660,Buena Vista Pictures
tt0400717,Columbia Pictures
tt0471042,Universal Pictures
tt0211181,Buena Vista Pictures
tt1667353,Relativity Media
tt0457939,Sony Pictures Releasing
tt0463985,Universal Pictures
tt0397535,Columbia Pictures
tt0215750,Paramount Pictures
tt0107362,Columbia Pictures
tt0327850,Universal Pictures
tt1430607,Columbia Pictures
tt1293847,Paramount Pictures
tt0119643,Universal Pictures
tt1287468,Warner Bros.
tt0233469,Warner Bros.
tt0284490,Warner Bros.
tt0113492,Buena Vista International
tt0443706,Paramount Pictures
tt0446029,Universal Pictures
tt0298814,Paramount Pictures
tt1804538,
tt1485796,Twentieth Century Fox
tt0267913,Warner Bros.
tt0144528,Universal Pictures
tt1821694,Summit Entertainment
tt0389860,Columbia Pictures
tt0413895,Paramount Pictures
tt0489099,Twentieth Century Fox
tt0411477,Universal Pictures
tt0398165,Paramount Pictures
tt1320253,Lionsgate
tt7713068,Warner Bros.
tt0216216,Columbia Pictures
tt0315327,Universal Pictures
tt1392170,Lionsgate
tt1411697,Warner Bros.
tt0117060,Paramount Pictures
tt4116284,Warner Bros.
tt2510894,Columbia Pictures
tt0103776,Warner Bros.
tt5113040,Universal Pictures
tt0120616,Universal Pictures
tt0327084,Paramount Pictures
tt0275847,Buena Vista Pictures
tt0120647,Paramount Pictures
tt2191701,Columbia Pictures
tt1615918,Twentieth Century Fox
tt0425061,Warner Bros.
tt0358082,Twentieth Century Fox
tt1130884,Paramount Pictures
tt0337741,Columbia Pictures
tt0369436,New Line Cinema
tt0119094,Paramount Pictures
tt0960731,Walt Disney Studios Motion Pictures
tt0257044,DreamWorks Distribution
tt1564367,Columbia Pictures
tt0287978,Twentieth Century Fox
tt1059786,DreamWorks
tt0118880,Buena Vista Pictures
tt1302067,Warner Bros.
tt0159365,Miramax
tt1037705,Warner Bros.
tt0119137,Buena Vista Pictures
tt0171363,DreamWorks Distribution
tt0117705,Fathom Events
tt2713180,Sony Pictures Releasing
tt6182908,Warner Bros.
tt0383216,Sony Pictures Releasing
tt1222817,Columbia Pictures
tt0970416,Twentieth Century Fox
tt0118883,Warner Bros.
tt0120828,Buena Vista Pictures
tt0166813,DreamWorks Distribution
tt0244244,Warner Bros.
tt0120738,New Line Cinema
tt0368008,Paramount Pictures
tt5649074,
tt0374536,Columbia Pictures
tt0268695,DreamWorks Distribution
tt0120889,Polygram Filmed Entertainment
tt0120751,Buena Vista Pictures
tt2935510,Twentieth Century Fox
tt0386140,Columbia Pictures
tt0185431,New Line Cinema
tt0986263,Walt Disney Studios Motion Pictures
tt0251075,DreamWorks Distribution
tt0355295,Dimension Films
tt0116996,Warner Bros.
tt0405469,Walt Disney Pictures
tt1762399,Twentieth Century Fox
tt0146309,New Line Cinema
tt0116040,Universal Pictures
tt1618442,Lionsgate
tt1921064,Sony Pictures Releasing
tt0318155,Warner Bros.
tt0875034,The Weinstein Company
tt0300556,Paramount Pictures
tt1723746,
tt0120595,Universal Pictures
tt0119925,Warner Bros.
tt0199753,Warner Bros.
tt0427392,Warner Bros.
tt0318081,Warner Bros.
tt6141246,Amazon Studios
tt0110357,Buena Vista Pictures
tt1397514,New Line Cinema
tt0810913,Columbia Pictures
tt0268978,Universal Pictures
tt1985966,Columbia Pictures
tt0289765,Universal Pictures
tt0317648,Buena Vista Pictures
tt0311429,Twentieth Century Fox
tt0204313,Warner Bros.
tt1754656,Netflix
tt5851562,
tt3766354,Columbia Pictures
tt1690953,Universal Pictures
tt0322259,Universal Pictures
tt0206634,Universal Pictures
tt0131704,Universal Pictures
tt2709768,Universal Pictures
tt0116629,Twentieth Century Fox
tt2709692,Universal Pictures
tt3470600,Universal Pictures
tt3469046,Universal Pictures
tt0119567,Universal Pictures
tt0438097,Twentieth Century Fox
tt0351283,DreamWorks Distribution
tt1375670,Columbia Pictures
tt0307453,DreamWorks Distribution
tt0120903,Twentieth Century Fox
tt0493464,Universal Pictures
tt0117500,Buena Vista Pictures
tt0343660,Columbia Pictures
tt0427327,New Line Cinema
tt1670345,Lionsgate
tt0443489,Paramount Pictures
tt4575576,Walt Disney Studios Motion Pictures
tt0141369,Buena Vista Pictures
tt1253864,Relativity Media
tt0362227,DreamWorks Distribution
tt0360486,Warner Bros.
tt0385880,Columbia Pictures
tt0190865,Columbia Pictures
tt0472062,Universal Pictures
tt0123964,Universal Pictures
tt6324278,Universal Pictures
tt0377471,Mayer
tt0408306,Universal Pictures
tt1103153,Lionsgate
tt1638355,Warner Bros.
tt0314353,Columbia Pictures
tt0452637,Warner Bros.
tt0371246,Columbia Pictures
tt0219965,Mayer
tt0166485,Fox 2000 Pictures
tt0113071,Columbia Pictures
tt0978764,Warner Bros.
tt0340163,Miramax
tt3062096,Columbia Pictures
tt0329717,Columbia Pictures
tt0120913,Twentieth Century Fox
tt0377062,Twentieth Century Fox
tt0120157,Warner Bros.
tt0120458,Universal Pictures
tt0166276,Twentieth Century Fox
tt4199898,STX Entertainment
tt8356942,Universal Pictures
tt2293640,Universal Pictures
tt2279373,Paramount Pictures
tt0217869,Buena Vista Pictures
tt0415306,Columbia Pictures
tt1985949,Columbia Pictures
tt0120832,Paramount Pictures
tt0120184,Warner Bros.
tt0462538,Twentieth Century Fox
tt0770752,Warner Bros.
tt1201167,Universal Pictures
tt0431197,Universal Pictures
tt0240462,Twentieth Century Fox
tt0112573,Paramount Pictures
tt0418763,Universal Pictures
tt0132245,Warner Bros.
tt0268995,Warner Bros.
tt0338512,Universal Pictures
tt0368447,Buena Vista Pictures
tt0118998,Twentieth Century Fox
tt0286106,Buena Vista Pictures
tt0298148,DreamWorks Distribution
tt0317219,Buena Vista Pictures
tt1231580,Twentieth Century Fox
tt7349950,Warner Bros.
tt0096438,Buena Vista Pictures
tt0163187,Paramount Pictures
tt0295701,Columbia Pictures
tt0117438,Buena Vista Pictures
tt0361748,The Weinstein Company
tt0102057,TriStar Pictures
tt0099423,Twentieth Century Fox
tt0257076,Columbia Pictures
tt5657846,Paramount Pictures
tt0162661,Paramount Pictures
tt0259711,Paramount Pictures
tt0119282,Buena Vista Pictures
tt2302755,FilmDistrict
tt1217613,Columbia Pictures
tt1568911,Touchstone Pictures
tt0277434,Paramount Pictures
tt2177771,Columbia Pictures
tt4624424,Warner Bros.
tt0120844,Paramount Pictures
tt0319061,Columbia Pictures
tt0111742,Columbia Pictures
tt1496025,Screen Gems
tt3014284,Warner Bros.
tt0829150,Universal Pictures
tt0406816,Buena Vista Pictures
tt0096754,Twentieth Century Fox
tt1578275,Universal Pictures
tt0398375,Warner Bros.
tt0133952,Twentieth Century Fox
tt0486655,Paramount Pictures
tt1336608,Warner Bros.
tt0120102,TriStar Pictures
tt0346156,Paramount Pictures
tt0476964,Warner Bros.
tt0297181,Columbia Pictures
tt0280486,Buena Vista Pictures
tt0419706,Universal Pictures
tt2025690,Walt Disney Studios Motion Pictures
tt1211956,Lionsgate
tt1448755,Open Road Films
tt0120696,Paramount Pictures
tt0251114,Mayer Distributing Corporation
tt0246894,MGM Home Entertainment
tt1043726,Lionsgate
tt0435705,Paramount Pictures
tt0308208,Warner Bros.
tt0181739,Warner Bros.
tt2717822,Universal Pictures
tt0430912,Columbia Pictures
tt1781967,
tt1323594,Universal Pictures
tt0427152,Paramount Pictures
tt2873282,Twentieth Century Fox
tt1325004,Summit Entertainment
tt0164184,Paramount Pictures
tt2637276,Universal Pictures
tt0227445,Paramount Pictures
tt0480687,New Line Cinema
tt0113845,Columbia Pictures
tt0285531,Warner Bros.
tt0132347,Universal Pictures
tt0140352,Spyglass Entertainment
tt1389072,Paramount Pictures
tt0758774,Warner Bros.
tt1611224,Twentieth Century Fox
tt0116830,New Line Cinema
tt0462396,The Weinstein Company
tt0137494,Twentieth Century Fox
tt0365474,
tt2369135,Walt Disney Studios Motion Pictures
tt0120815,DreamWorks Distribution
tt0207201,Paramount Pictures
tt0443272,Touchstone Pictures
tt0268380,Twentieth Century Fox
tt0112384,Universal Pictures
tt0133093,Warner Bros.
tt5220122,Columbia Pictures
tt1707386,Universal Pictures
tt0304669,Buena Vista Pictures Distribution
tt0100802,TriStar Pictures
tt0128853,Warner Bros.
tt1809398,Universal Pictures
tt3079380,Twentieth Century Fox
tt1231583,Warner Bros.
tt0838283,Columbia Pictures
tt0113497,TriStar Pictures
tt0120746,TriStar Pictures
tt0186566,Warner Bros.
tt1823664,Sony Pictures Releasing
tt0106582,TriStar Pictures
tt2788732,Walt Disney Studios Motion Pictures
tt0115759,Twentieth Century Fox
tt0469641,Paramount Pictures
tt0219854,Buena Vista Pictures
tt0304415,Columbia Pictures
tt1645170,Paramount Pictures
tt0120663,Warner Bros.
tt1596350,Twentieth Century Fox
tt2381941,Warner Bros.
tt0359013,New Line Cinema
tt1234719,Open Road Films
tt0758794,Warner Bros.
tt2719848,Universal Pictures
tt1855325,Screen Gems
tt6095472,Columbia Pictures
tt0119942,Universal Pictures
tt0137523,Twentieth Century Fox
tt0452608,Universal Pictures
tt0116908,New Line Cinema
tt0228750,Warner Bros.
tt0406375,Columbia Pictures
tt0338188,Columbia Pictures
tt0357277,Twentieth Century Fox
tt0375568,Summit Entertainment
tt1418377,Lionsgate
tt0102070,TriStar Pictures
tt10597946,
tt0458481,Dimension
tt2361317,Warner Bros.
tt0219952,Paramount Pictures
tt0380599,TriStar Pictures
tt4743226,Grindstone Entertainment Group
