movie_id,reviews_users,reviews_critics
tt7547410,234,125
tt0267804,303,104
tt1823672,750,390
tt0098987,.,.
tt1781769,254,335
tt0097576,537,161
tt0298130,1645,291
tt0181865,.,.
tt0258000,884,239
tt1560220,580,252
tt0155267,435,153
tt7401588,520,137
tt0145681,419,75
tt0120188,563,136
tt0808510,85,118
tt0250687,517,105
tt0381849,619,298
tt0272152,546,146
tt0230030,262,129
tt0120780,323,166
tt0087089,91,36
tt5033998,792,152
tt0462499,777,304
tt1355631,104,185
tt0099422,187,97
tt2543164,1782,713
tt0115798,375,81
tt0106220,.,.
tt1471346,.,.
tt0200027,210,89
tt0307479,730,205
tt1075747,212,188
tt0117002,96,53
tt0490215,422,411
tt0119738,192,91
tt0265029,341,143
tt0117731,318,161
tt0278504,678,183
tt1392214,829,489
tt0115956,113,70
tt0119528,.,.
tt0120623,353,131
tt1397280,496,363
tt0109813,107,45
tt0306047,360,157
tt0212346,385,132
tt4765284,164,142
tt0373051,228,196
tt0107798,106,54
tt0368933,158,78
tt0825232,356,202
tt0109446,104,49
tt1204342,254,404
tt0105112,.,.
tt0369735,246,132
tt0139654,692,123
tt3631112,466,368
tt0177789,653,96
tt0257106,555,133
tt0120611,625,212
tt0393162,229,120
tt1038919,147,166
tt0264472,354,162
tt0118615,300,136
tt0401855,517,178
tt3224458,417,198
tt0200550,385,159
tt0314331,1122,233
tt0116669,77,37
tt0111255,129,42
tt1711525,185,191
tt0117918,82,53
tt0371724,1094,284
tt0432021,371,227
tt0396592,92,60
tt1615065,293,345
tt0110997,.,.
tt1086772,239,177
tt0408985,128,92
tt0450232,317,194
tt0113419,51,27
tt0337921,368,68
tt5606664,992,305
tt0429589,74,106
tt0274166,314,127
tt0087182,658,163
tt0775552,65,80
tt0445922,546,169
tt0959337,477,330
tt0364970,224,166
tt0109836,268,97
tt0116421,92,49
tt1946502,118,64
tt0117108,93,47
tt0237572,562,154
tt0117331,165,74
tt0376108,40,53
tt1139328,383,353
tt0149624,185,87
tt0814022,166,127
tt0113987,.,.
tt1343727,683,472
tt0376136,176,284
tt0118956,293,128
tt3289724,230,132
tt1634122,181,160
tt1046997,192,150
tt0246464,186,90
tt0484740,120,117
tt0255477,97,68
tt0120107,.,.
tt0249516,118,15
tt1024648,762,666
tt0106977,317,127
tt0089880,260,130
tt0117665,280,66
tt1438254,89,115
tt0116731,62,29
tt2788710,894,297
tt0080855,225,131
tt2404463,423,278
tt0181536,332,131
tt0191754,204,118
tt0253867,412,101
tt5177088,385,202
tt3416532,228,347
tt0472399,201,256
tt0106918,169,71
tt1232829,394,386
tt0125439,650,164
tt0120630,382,191
tt3281548,553,290
tt0343135,286,56
tt0103859,53,23
tt0889583,409,162
tt0056937,219,84
tt2334871,305,162
tt1648179,131,155
tt0257756,185,114
