,title,prd_mthd
358,Batman Forever,live action
359,Planet of the Apes,.
360,National Treasure,live action
361,Django Unchained,live action
362,1917,live action
363,Little Fockers,live action
364,True Lies,live action
365,American Gangster,live action
366,Cloudy with a Chance of Meatballs,digital animation
367,The Other Guys,live action
368,Lemony Snicket's A Series of Unfortunate Events,live action
369,The Wolf of Wall Street,live action
370,Epic,digital animation
371,Eraser,live action
372,The Hunchback of Notre Dame,hand animation
373,The Emperor's New Groove,hand animation
374,The Expendables 2,live action
375,Where the Wild Things Are,live action
376,Eragon,animation/live action
377,Hercules,live action
378,The Tourist,live action
379,End of Days,live action
380,Spies in Disguise,Digital Animation
381,The Stepford Wives,live action
382,Surf's Up,digital animation
383,Blood Diamond,live action
384,Midway,live action
385,Legend of the Guardians: The Owls of Ga'Hoole,digital animation
386,Starship Troopers,animation/live action
387,Land of the Lost,live action
388,Peter Pan,live action
389,Wonder Park,digital animation
390,Catwoman,live action
391,The Expendables 3,live action
392,Treasure Planet,hand animation
393,Green Zone,live action
394,Geostorm,live action
395,Point Break,live action
396,Cats,Live Action
397,In the Heart of the Sea,live action
398,Transcendence,live action
399,Son of the Mask,live action
400,Mortal Engines,live action
401,The Adventures of Pluto Nash,live action
402,Artemis Fowl,live action
403,The Peanuts Movie,digital animation
404,The Lego Movie 2: The Second Part,digital animation
405,Robin Hood,live action
406,The Mummy Returns,live action
407,Gangs of New York,live action
408,Alien: Covenant,live action
409,Cinderella,live action
410,Ice Age: Continental Drift,digital animation
411,Black Hawk Down,live action
412,Sex and the City 2,live action
413,Percy Jackson & the Olympians: The Lightning Thief,live action
414,The Campaign,live action
415,Unstoppable,live action
416,The Fifth Element,live action
417,The Road to El Dorado,hand animation
418,The Lovely Bones,live action
419,Ben-Hur,live action
420,Seventh Son,live action
421,Finding Nemo,digital animation
422,The Lord of the Rings: The Return of the King,animation/live action
423,The Lord of the Rings: The Two Towers,animation/live action
424,Lara Croft: Tomb Raider,live action
425,Kingsman: The Secret Service Revealed,live action
426,Jurassic Park III,animation/live action
427,Rise of the Planet of the Apes,animation/live action
428,The Spiderwick Chronicles,live action
429,The Incredibles,digital animation
430,A Good Day to Die Hard,live action
431,The Alamo,live action
432,Cutthroat Island,live action
433,The Secret Life of Walter Mitty,live action
434,Jumanji: Welcome to the Jungle,live action
435,Men in Black,live action
436,Toy Story 2,digital animation
437,Rush Hour 2,live action
438,Sherlock Holmes,live action
439,Ice Age: Dawn of the Dinosaurs,digital animation
440,Bad Boys for Life,live action
441,What Lies Beneath,live action
442,Rio,digital animation
443,Once Upon a Time... in Hollywood,live action
444,The Departed,live action
445,Charlie's Angels,live action
446,Mulan,hand animation
447,Sonic the Hedgehog,animation/live action
448,Tropic Thunder,live action
449,The Girl with the Dragon Tattoo,live action
450,Contact,live action
451,You Don't Mess with the Zohan,live action
452,Die Hard with a Vengeance,live action
453,The Magnificent Seven,live action
454,Alvin and the Chipmunks: The Road Chip,animation/live action
455,Atlantis: The Lost Empire,hand animation
456,Valkyrie,live action
457,Pixels,animation/live action
458,The Haunted Mansion,live action
459,Hollow Man,live action
460,The Interpreter,live action
461,Percy Jackson: Sea of Monsters,animation/live action
462,Lara Croft Tomb Raider: The Cradle of Life,live action
463,Now You See Me 2,live action
464,Spy Game,live action
465,The Saint,live action
466,Mission to Mars,live action
467,Tomb Raider,live action
468,Bicentennial Man,live action
469,King Arthur,live action
470,Volcano,live action
471,The Devil's Own,live action
472,K-19: The Widowmaker,live action
473,Conan the Barbarian,live action
474,The Three Musketeers,live action
475,The Promise,live action
476,The Nutcracker in 3D,animation/live action
477,Bright,live action
478,Army of the Dead,live action
479,Twister,live action
480,Cinderella Man,live action
481,The Predator,live action
482,Fantastic Four,Live Action
483,Hannibal,live action
484,Seabiscuit,live action
485,Cast Away,live action
486,Happy Feet,digital animation
487,Ocean's Eleven,live action
488,The Bourne Supremacy,live action
489,Air Force One,live action
490,Fast & Furious,live action
491,Horton Hears a Who!,digital animation
492,Divergent,live action
493,Hotel Transylvania,digital animation
494,Shazam!,live action
495,Enchanted,animation/live action
496,Safe House,live action
497,Ocean's Thirteen,live action
498,It's Complicated,live action
499,Enemy of the State,live action
500,Open Season,digital animation
501,Tower Heist,live action
502,102 Dalmatians,live action
503,Mirror Mirror,live action
504,The Holiday,live action
505,The Fast and the Furious: Tokyo Drift,live action
506,Memoirs of a Geisha,live action
507,Enemy at the Gates,live action
508,Last Action Hero,live action
509,The Rundown,live action
510,Arthur Christmas,digital animation
511,xXx: Return of Xander Cage,live action
512,Meet Joe Black,live action
513,Cats & Dogs: The Revenge of Kitty Galore,live action
514,Collateral Damage,live action
515,Showtime,live action
516,Judge Dredd,live action
517,Zodiac,live action
518,Scott Pilgrim vs. the World,live action
519,The Core,live action
520,Father's Day,live action
521,The Greatest Showman,live action
522,Scooby-Doo,live action
523,Nutty Professor II: The Klumps,live action
524,RED 2,live action
525,Click,live action
526,Charlotte's Web,live action
527,Jumper,live action
528,Hellboy II: The Golden Army,live action
529,The Longest Yard,live action
530,The Expendables,live action
531,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,live action
532,The 6th Day,live action
533,Bruce Almighty,live action
534,The Hunger Games,live action
535,The Hangover Part II,live action
536,Mission: Impossible,live action
537,The Lego Batman Movie,digital animation
538,Hotel Transylvania 2,digital animation
539,Batman Returns,live action
540,The Secret Life of Pets 2,digital animation
541,The Mummy,live action
542,Over the Hedge,digital animation
543,Lilo & Stitch,hand animation
544,Deep Impact,live action
545,Grown Ups 2,live action
546,Alvin and the Chipmunks: Chipwrecked,animation/live action
547,Get Smart,live action
548,Robots,digital animation
549,Shutter Island,live action
550,Something's Gotta Give,live action
551,Four Christmases,live action
552,Face/Off,live action
553,Bedtime Stories,live action
554,Road to Perdition,live action
555,Just Go with It,live action
556,Daredevil,live action
557,Eagle Eye,live action
558,Con Air,live action
559,Yogi Bear,animation/live action
560,Cold Mountain,live action
561,The Book of Eli,live action
562,Flubber,live action
563,The Haunting,live action
564,Space Jam,animation/live action
565,Fury,live action
566,Smallfoot,digital animation
567,The Pink Panther,live action
568,Zookeeper,animation/live action
569,The Day the Earth Stood Still,Live Action
570,Conspiracy Theory,live action
571,Six Days Seven Nights,live action
572,Spirit: Stallion of the Cimarron,hand animation
573,Swordfish,live action
574,Lost in Space,live action
575,The Manchurian Candidate,live action
576,Déjà Vu,live action
577,Bewitched,live action
578,The Time Machine,live action
579,What Dreams May Come,live action
580,Mighty Joe Young,live action
581,Ad Astra,live action
582,The Legend of Zorro,live action
583,Little Nicky,live action
584,Surrogates,live action
585,Evolution,live action
586,The Brothers Grimm,live action
587,Mars Attacks!,live action
588,The Wild,digital animation
589,Walking with Dinosaurs 3D,animation/live action
590,Thirteen Days,live action
591,Daylight,live action
592,The Last Witch Hunter,live action
593,Pompeii,live action
594,Looney Tunes: Back in Action,live action
595,Nine,live action
596,Timeline,live action
597,Change for the Oceans,live action
598,Babe: Pig in the City,live action
599,The Postman,live action
600,Red Planet,live action
601,The Invasion,live action
602,A Sound of Thunder,live action
603,The Aeronauts,live action
604,The Lion King,hand animation
605,Journey 2: The Mysterious Island,live action
606,Jack and Jill,live action
607,A Beautiful Mind,live action
608,Cloudy with a Chance of Meatballs 2,digital animation
609,Red Dragon,live action
610,Hidalgo,live action
611,The League of Extraordinary Gentlemen,live action
612,Exorcist: The Beginning,live action
613,The Little Prince,digital animation
614,Renegades,contemporary fiction
615,The Equalizer 2,live action
616,Despicable Me 2,digital animation
617,2 Fast 2 Furious,live action
618,Children of Men,live action
619,The Adventures of Rocky & Bullwinkle,live action
620,The Secret Life of Pets,digital animation
621,Independence Day,live action
622,Dr. Seuss' The Grinch,digital animation
623,Sing,digital animation
624,Despicable Me 3,digital animation
625,The Lost World: Jurassic Park,animation/live action
626,Ice Age: The Meltdown,digital animation
627,Madagascar,digital animation
628,Grown Ups,live action
629,Shark Tale,digital animation
630,X-Men,live action
631,Wanted,Live Action
632,The Rock,live action
633,50 First Dates,live action
634,Hairspray,live action
635,Now You See Me,live action
636,Dreamgirls,live action
637,Christopher Robin,animation/live action
