movie_id,title,release_year,release_date,runtime,mpa_rating,mpa_rating_origin,imdb_score,votes,reviews_users,reviews_critics,budget,income_usa,income_ww,theater_opening,theater_total,genre_1,genre_2,genre_3,country_1,country_2,country_3,director,actor_1,actor_2,actor_3,studio,description,contract_price,studio_score,price_class
tt3014666,Moms' Night Out,2014,05-09-2014,98,PG,PG,5.4,12619,151,53,5000000,10429707,10536956,1044,1046,Comedy,,,USA,,,Andrew Erwin,Sarah Drew,Sean Astin,Patricia Heaton,TriS,"Hardworking mom Allyson has a crazy night out with her friends, while their husbands watch their children.",610,4,1
tt2513074,Billy Lynn's Long Halftime Walk,2016,11-18-2016,113,R,R,6.2,19667,103,177,40000000,1738477,30930984,2,1176,Action,Drama,Thrille,UK,China,USA,Ang Lee,Joe Alwyn,Garrett Hedlund,Arturo Castro,TriS,"19-year-old Billy Lynn is brought home for a victory tour after a harrowing Iraq battle. Through flashbacks, the film shows what really happened to his squad - contrasting the realities of war with America's perceptions.",610,4,1
tt2247476,When the Game Stands Tall,2014,08-22-2014,115,PG,PG,6.7,14682,72,51,15000000,30127963,30138754,2673,2766,Drama,Sport,,USA,,,Thomas Carter,Jim Caviezel,Michael Chiklis,Alexander Ludwig,TriS,"The journey of legendary football coach Bob Ladouceur, who took the De La Salle High School Spartans from obscurity to a 151-game winning streak that shattered all records for any American sport.",610,4,1
tt2241351,Money Monster,2016,05-13-2016,98,R,R,6.5,88687,201,330,27000000,41012075,93282604,3104,3104,Crime,Drama,Thrille,USA,,,Jodie Foster,George Clooney,Julia Roberts',Jack O'Connell,TriS,Financial TV host Lee Gates and his producer Patty are put in an extreme situation when an irate investor takes them and their crew as hostage.,670,4,3
tt1921064,Pompeii,2014,02-21-2014,105,PG-13,PG-13,5.5,102069,363,282,100000000,23219748,117831631,2658,2658,Action,Adventure,Drama,Can,German,USA,Paul W.S. Anderso,Kit Harington,Carrie-Anne Moss,Emily Browning,TriS,"A slave-turned-gladiator finds himself in a race against time to save his true love, who has been betrothed to a corrupt Roman Senator. As Mount Vesuvius erupts, he must fight to save his beloved as Pompeii crumbles around him.",610,4,1
tt1911644,The Call,2013,03-15-2013,94,R,R,6.7,105790,301,287,13000000,51872378,68572378,2507,2507,Crime,Drama,Horror,USA,,,Brad Anderson,Halle Berry,Abigail Breslin,Morris Chestnut,TriS,"When a veteran 911 operator takes a life-altering call from a teenage girl who has just been abducted, she realizes that she must confront a killer from her past in order to save the girl's life.",610,4,1
tt1657507,Colombiana,2011,08-26-2011,108,PG-13,PG-13,6.4,89143,221,201,40000000,36665854,69015854,2614,2614,Action,Drama,Thrille,Fra,,,Olivier Megaton,Zoe Saldana,Jordi Moll¢®¢®,Lennie James,TriS,"A young woman, after witnessing her parents' murder as a child in Bogota, grows up to be a stone-cold assassin.",610,4,1
tt1640484,Jumping the Broom,2011,05-06-2011,112,PG-13,PG-13,5.7,9306,62,49,6600000,37295394,37710610,2035,2035,Comedy,Drama,,USA,,,Salim Akil,Angela Bassett,Paula Patton,Laz Alonso,TriS,Two very different families converge on Martha's Vineyard one weekend for a wedding.,670,4,3
tt1630036,Courageous,2011,09-30-2011,129,PG-13,PG-13,7,17931,186,35,2000000,34522221,35185884,1161,1214,Drama,Fantasy,,USA,,,Alex Kendrick,Ken Bevel,Alex Kendrick,Kevin Downes,TriS,"When a tragedy strikes close to home, four police officers struggle with their faith and their roles as husbands and fathers; together they make a decision that will change all of their lives.",610,4,1
tt1596346,Soul Surfer,2011,04-08-2011,112,PG,PG,7,42610,128,110,18000000,43853424,47088990,2214,2240,Biography,Drama,Family,USA,,,Sean McNamara,AnnaSophia Robb,Helen Hunt,Dennis Quaid,TriS,Teenage surfer Bethany Hamilton overcomes the odds and her own fears of returning to the water after losing her left arm in a shark attack.,670,4,3
tt1535108,Elysium,2013,08-09-2013,109,R,R,6.6,402030,886,497,115000000,93050117,286140700,3284,3284,Action,Drama,Sci-Fi,USA,,,Neill Blomkamp,Matt Damon,Jodie Foster,Sharlto Copley,TriS,"In the year 2154, the very wealthy live on a man-made space station while the rest of the population resides on a ruined Earth. A man takes on a mission that could bring equality to the polarized worlds.",610,4,1
tt1276104,Looper,2012,09-28-2012,113,R,R,7.4,508932,734,608,30000000,66486205,176506819,2992,2993,Action,Crime,Drama,USA,China,,Rian Johnson,Joseph Gordon-Lev,Bruce Willis,Emily Blunt,TriS,"In 2074, when the mob wants to get rid of someone, the target is sent into the past, where a hired gun awaits - someone like Joe - who one day learns the mob wants to 'close the loop' by sending back Joe's future self for assassination.",880,4,10
tt3416742,What We Do in the Shadows,2014,02-13-2015,86,R,R,7.7,133258,304,301,1600000,3469224,6263224,5,154,Comedy,Horror,,New,USA,,Jemaine Clement,Jemaine Clement,Taika Waititi,Jonny Brugh,U/P,"Viago, Deacon and Vladislav are vampires who are finding that modern life has them struggling with the mundane - like paying rent, keeping up with the chore wheel, trying to get into nightclubs and overcoming flatmate conflicts.",610,1,3
tt0985699,Valkyrie,2008,12-25-2008,121,PG-13,PG-13,7.1,217281,460,175,75000000,83077833,200292390,2711,2838,Drama,History,Thrille,USA,German,,Bryan Singer,Tom Cruise,Kenneth Branagh,Bill Nighy,UA,"A dramatization of the July 20, 1944 assassination and political coup plot by desperate renegade German Army officers against Adolf Hitler during World War II.",610,4,1
tt0891527,Lions for Lambs,2007,11-09-2007,92,R,R,6.2,45822,306,234,35000000,15002854,63215872,2215,2216,Drama,Thriller,War,USA,,,Robert Redford,Robert Redford,Meryl Streep,Tom Cruise,UA,"Injuries sustained by two Army rangers behind enemy lines in Afghanistan set off a sequence of events involving a congressman, a journalist and a professor.",610,4,1
tt1489887,Booksmart,2019,05-24-2019,102,R,R,7.3,45783,566,235,6000000,22680962,24624917,2505,2518,Comedy,,,USA,,,Olivia Wilde,Kaitlyn Dever,Beanie Feldstein,Jessica Williams,UAR,"On the eve of their high school graduation, two academic superstars and best friends realize they should have worked less and played more. Determined not to fall short of their peers, the girls try to cram four years of fun into one night.",670,4,3
tt1298644,The Hustle,2019,05-10-2019,93,PG-13,PG-13,5.4,26954,396,127,21000000,35417038,95017038,3007,3077,Comedy,Crime,,USA,,,Chris Addison,Timothy Simons,Rebel Wilson,Douggie McMeekin,UAR,Two con women - one low rent and the other high class - team up to take down the men who have wronged them.,610,4,1
tt6348138,Missing Link,2019,04-12-2019,94,PG,PG,6.8,9528,131,130,100000000,16649539,26249469,3413,3437,Animation,Adventure,Comedy,Can,USA,,Chris Butler,Hugh Jackman,David Walliams,Stephen Fry,UAR,"Mr. Link recruits explorer Sir Lionel Frost to help find his long-lost relatives in the fabled valley of Shangri-La. Along with adventurer Adelina Fortnight, this trio of explorers travel the world to help their new friend.",610,4,1
tt5074352,Dangal,2016,12-21-2016,161,NC-17,Unrat,8.4,131692,339,55,.,12391761,302895451,331,338,Action,Biography,Drama,Ind,,,Nitesh Tiwari,Aamir Khan,Fatima Sana Shaikh,Sanya Malhotra,UTV,Former wrestler,730,4,5
tt4864932,Baaghi,2016,04-29-2016,133,NC-17,Unrat,5.2,6092,51,23,5200000,438207,676602,78,78,Action,Thriller,,Ind,,,Sabir Khan,Shraddha Kapoor,Tiger Shroff,Sudheer Babu Posan,UTV,A martial arts student seeks revenge after the murder of his master.,610,4,1
tt4535650,Dilwale,2015,12-18-2015,158,NC-17,Unrat,5.2,29528,265,49,.,4871263,31994323,268,268,Action,Comedy,Romance,Ind,,,Rohit Shetty,Shah Rukh Khan,Kajol,Varun Dhawan,UTV,"The siblings of two estranged lovers fall for each other, unaware of the violent past that drove them apart.",670,4,3
tt4129428,Jagga Jasoos,2017,07-14-2017,161,NC-17,Unrat,6.4,8169,139,25,.,861740,1154862,210,210,Action,Adventure,Comedy,Ind,,,Anurag Basu,Ranbir Kapoor,Katrina Kaif,Saswata Chatterjee,UTV,"Join Jagga, a gifted teenage detective, who along with a female companion, is on a quest to find his missing father.",610,4,1
tt3859980,Mohenjo Daro,2016,08-12-2016,155,NC-17,Unrat,5.7,9774,128,30,.,1264339,1630231,246,246,Action,Adventure,Drama,Ind,,,Ashutosh Gowarike,Hrithik Roshan,Pooja Hegde,Kabir Bedi,UTV,"In 2016 BC, a kind farmer leads an uprising in the city of Mohenjo Daro.",610,4,1
tt3554418,Khoobsurat,2014,09-19-2014,130,NC-17,Unrat,6.4,6986,45,21,.,710508,1375623,57,61,Comedy,Romance,,Hin,,,Shashanka Ghosh,Sonam Kapoor,Fawad Khan,Ratna Pathak Shah,UTV,A hopelessly romantic physiotherapist meets a handsome young Rajput prince who is the complete opposite of her and engaged to someone else.,610,4,1
tt3499096,Race,2016,02-19-2016,134,NC-17,Unrat,7.1,31854,98,155,30000000,19206207,25070261,96,96,Biography,Drama,Sport,Can,German,Franc,Stephen Hopkins,Stephan James,Jason Sudeikis,Eli Goree,UTV,"Jesse Owens' quest to become the greatest track and field athlete in history thrusts him onto the world stage of the 1936 Olympics, where he faces off against Adolf Hitler's vision of Aryan supremacy.",670,4,3
tt3390572,Haider,2014,10-02-2014,160,NC-17,Unrat,8.1,46941,237,54,.,1048143,1404307,119,119,Action,Crime,Drama,Ind,,,Vishal Bhardwaj,Tabu,Shahid Kapoor,Shraddha Kapoor,UTV,"A young man returns to Kashmir after his father's disappearance to confront his uncle, whom he suspects of playing a role in his father's fate.",610,4,1
tt0405508,Rang De Basanti,2006,01-26-2006,167,NC-17,Unrat,8.2,103174,354,37,.,2197694,8846694,61,66,Comedy,Drama,,Hin,Punjab,UK,Rakeysh Omprakash,Aamir Khan,Siddharth,Sharman Joshi,UTV,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.",670,4,3
tt3148502,Tamasha,2015,11-27-2015,139,NC-17,Unrat,7.2,20636,256,45,.,2065487,15159762,182,182,Comedy,Drama,Romance,Hin,,,Imtiaz Ali,Deepika Padukone,Ranbir Kapoor,Svetlana Tulasi,UTV,Tamasha is about the journey of someone who has lost his edge in trying to follow socially acceptable conventions of society. The film is based on the central theme of abrasion and loss of ...,670,4,3
tt2344678,Himmatwala,2013,03-29-2013,150,NC-17,Unrat,1.7,7477,36,13,10000000,270880,696334,99,99,Action,Comedy,Drama,Ind,,,Sajid Khan,Ajay Devgn,Tamannaah Bhatia,Paresh Rawal,UTV,"When a temple priest commits suicide after being dishonored by an evil landlord, his son returns to his native village on a mission of vengeance.",610,4,1
tt0449994,Jodhaa Akbar,2008,02-15-2008,213,NC-17,Unrat,7.6,27568,126,38,.,3440718,26935618,100,125,Action,Drama,History,Ind,,,Ashutosh Gowarike,Hrithik Roshan,Aishwarya Rai Bachchan,Sonu Sood,UTV,"A sixteenth century love story about a marriage of alliance that gave birth to true love between a great Mughal emperor, Akbar, and a Rajput princess, Jodha.",670,4,3
tt2112124,Chennai Express,2013,08-08-2013,141,NC-17,Unrat,6,45682,247,108,.,5307960,10234653,196,196,Action,Comedy,,Ind,,,Rohit Shetty,Deepika Padukone,Shah Rukh Khan,Sathyaraj,UTV,A man heading towards Rameshwaram via Chennai express to immerse his late grandfather's ashes unwillingly gets caught amidst goons after helping their boss's daughter and them board the train.,670,4,3
tt1934231,Delhi Belly,2011,07-01-2011,103,NC-17,Unrat,7.5,25299,106,37,.,1532594,16706074,89,90,Action,Comedy,Crime,Ind,,,Abhinay Deo,Imran Khan,Vir Das,Kunaal Roy Kapur,UTV,Three struggling room-mates unknowingly become potential prey of a ruthless gangster.,610,4,1
tt1734110,No One Killed Jessica,2011,01-07-2011,136,NC-17,Unrat,7.2,10172,58,24,.,440525,633679,48,48,Biography,Crime,Drama,Ind,,,Raj Kumar Gupta,Rani Mukerji,Vidya Balan,Myra Karn,UTV,"A journalist, who is more of an activist teams up with the sister of a murdered model, as she gets interested in the case and wants to bring justice to her case.",610,4,1
tt1375789,Race 2,2013,01-25-2013,150,NC-17,Unrat,5.3,14303,52,23,.,1579940,3164441,153,153,Action,Crime,Thrille,Ind,,,Abbas Alibhai Bur,Saif Ali Khan,John Abraham,Deepika Padukone,UTV,Ranvir treads through the world of the Indian mafia in Turkey as he looks to avenge the death of his lover and partner in crime.,670,4,3
tt7286456,Joker,2019,10-04-2019,122,NC-17,Unrat,9.5,467169,7665,562,55000000,316964593,995064593,74,74,Crime,Drama,Thrille,USA,Canada,,Todd Phillips,Joaquin Phoenix,Zazie Beetz,Robert De Niro,UTV,"In Gotham City, mentally-troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: ""The Joker"".",880,4,10
tt5308322,Happy Death Day,2017,10-13-2017,96,PG-13,PG-13,6.5,97793,419,287,4800000,55683845,125479266,3149,3535,Horror,Mystery,Thrille,USA,,,Christopher Lando,Jessica Rothe,Israel Broussard,Ruby Modine,Universal,"A college student must relive the day of her murder over and over again, in a loop that will end only when she discovers her killer's identity.",710,6,3
tt1230414,It's Complicated,2009,12-25-2009,120,R,R,6.5,82219,233,189,85000000,112735375,219103655,2887,2955,Comedy,Drama,Romance,USA,Japan,,Nancy Meyers,Meryl Streep,Steve Martin,Alec Baldwin,Universal,"When attending their son's college graduation, a couple reignite the spark in their relationship. But the complicated fact is they're divorced and he's remarried.",650,6,1
tt5113040,The Secret Life of Pets 2,2019,06-07-2019,86,PG,PG,6.5,30409,234,144,80000000,158257265,429434163,4561,4564,Animation,Adventure,Comedy,Fra,Japan,USA,Chris Renaud,Patton Oswalt,Kevin Hart,Harrison Ford,Universal,"Continuing the story of Max and his pet friends, following their secret lives after their owners leave them for work or school each day.",650,6,1
tt1226229,Get Him to the Greek,2010,06-04-2010,109,R,R,6.4,163225,209,215,40000000,60974475,91261479,2697,2702,Adventure,Comedy,Music,USA,,,Nicholas Stoller,Russell Brand,Rose Byrne,Tyler McKinney,Universal,A record company intern is hired to accompany out-of-control British rock star Aldous Snow to a concert at L.A.'s Greek Theater.,710,6,3
tt5052448,Get Out,2017,02-24-2017,104,R,R,7.7,429173,1427,720,4500000,176040665,255413717,2781,3143,Horror,Mystery,Thrille,USA,Japan,,Jordan Peele,Daniel Kaluuya,Allison Williams,Catherine Keener,Universal,"A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",920,6,10
tt1226229,Get Him to the Greek,2010,06-04-2010,109,R,R,6.4,163225,209,215,40000000,60974475,91261479,2697,2702,Adventure,Comedy,Music,USA,,,Nicholas Stoller,Russell Brand,Rose Byrne,Tyler McKinney,Universal,A record company intern is hired to accompany out-of-control British rock star Aldous Snow to a concert at L.A.'s Greek Theater.,710,6,3
