prd_company,num_movies,com_dom_bo,com_wrld_bo
Mutual Film Company,5,"$560,484,182","$1,192,779,027"
FilmNation Entertainment,54,"$554,658,056","$1,247,406,791"
Jerry Weintraub,6,"$549,401,626","$1,219,383,152"
Broken Road,12,"$548,166,999","$1,115,171,321"
Nu Image,18,"$535,583,036","$1,521,635,080"
Robert Simonds Company,7,"$533,966,250","$818,504,289"
Good Universe,15,"$532,850,614","$865,972,183"
Morgan Creek Productions,10,"$531,118,944","$938,175,174"
Di Novi Pictures,12,"$530,457,978","$830,125,497"
Entertainment One,58,"$526,798,834","$1,075,792,472"
Phoenix Pictures,17,"$526,092,393","$1,479,968,171"
Saturn Films,11,"$524,753,235","$1,177,010,808"
UK Film Council,71,"$524,112,124","$1,717,568,179"
Maverick Films,3,"$522,364,166","$1,137,610,548"
Cross Creek Pictures,22,"$521,931,372","$1,443,848,233"
Sony Pictures,21,"$517,049,935","$1,011,858,602"
Laurence Mark,7,"$510,849,614","$973,707,076"
MARV Films,14,"$508,975,133","$1,446,324,011"
The Mark Gordon Company,13,"$503,601,298","$1,428,223,025"
Montecito Picture Company,15,"$494,456,516","$900,314,516"
Rogue Pictures,17,"$489,302,777","$961,548,424"
Valhalla Motion Pictures,5,"$487,720,737","$1,093,526,058"
Newmarket Films,4,"$478,862,407","$795,497,576"
Image Nation Abu Dhabi,16,"$475,587,858","$909,473,247"
CBS Films,20,"$474,207,071","$820,511,042"
Image Nation,11,"$473,309,751","$1,380,111,234"
Lord Miller,4,"$472,245,852","$876,699,376"
Beacon Pictures,10,"$470,664,253","$866,434,673"
Smart Entertainment,4,"$467,780,755","$909,231,281"
Constantin Film,23,"$467,715,018","$1,820,998,105"
David Brown,4,"$465,896,331","$788,887,301"
3 Arts Entertainment,13,"$462,329,651","$884,645,415"
Wigram Productions,4,"$459,047,991","$1,251,494,357"
Wendy Fineman Productions,2,"$454,891,598","$1,005,923,792"
Dreamworks LLC,3,"$453,238,496","$924,463,558"
Stage 6 Films,26,"$452,431,060","$845,491,616"
Hemisphere Media Capital,3,"$452,398,349","$1,534,275,658"
Hartbeat Productions,12,"$451,155,968","$1,068,224,850"
M6 Films,13,"$444,035,404","$1,244,523,069"
Cine Plus,97,"$439,929,082","$1,660,943,149"
Leverage,12,"$438,052,286","$663,026,102"
Jon Peters,3,"$434,308,866","$844,086,176"
STX Entertainment,15,"$433,669,642","$727,330,888"
Mark Johnson,2,"$433,332,447","$1,137,880,860"
Animal Logic,9,"$428,191,278","$994,586,515"
Birnbaum/Barber,5,"$425,522,703","$916,754,397"
Anonymous Content,36,"$425,305,807","$1,087,134,808"
Open Road Films,21,"$422,062,115","$737,406,191"
Monkeypaw Pictures,5,"$420,992,438","$625,676,761"
Grive Productions,6,"$414,232,430","$894,192,917"
Tapestry Films,7,"$414,226,042","$571,169,500"
Wanda Pictures,1,"$412,563,408","$821,133,378"
Eddie Murphy Production,3,"$405,499,640","$724,280,938"
Waverly Films,5,"$403,485,573","$930,942,894"
Solana Films,6,"$401,360,355","$890,417,130"
Rainforest Films,5,"$400,393,818","$462,105,405"
2.0 Entertainment,4,"$393,034,174","$913,342,963"
Junction Entertainment,2,"$392,966,503","$788,649,214"
Tig Productions,4,"$387,510,797","$934,023,590"
Contrafilm,9,"$381,207,362","$897,101,065"
STX Films,13,"$379,538,664","$535,508,047"
