movie_id,item_id,inv_exist,cluster_kmeans
tt1430607,.,0,13
tt1293847,.,0,18
tt0119643,.,0,6
tt1287468,.,0,13
tt0233469,.,0,23
tt0284490,.,0,19
tt0113492,.,0,1
tt0443706,.,0,21
tt0446029,.,0,21
tt0298814,.,0,18
tt1485796,.,0,21
tt0267913,.,0,19
tt0144528,.,0,19
tt1821694,.,0,23
tt0389860,.,0,19
tt0413895,.,0,18
tt0489099,.,0,18
tt0411477,.,0,18
tt0398165,.,0,19
tt1320253,.,0,18
tt0216216,.,0,13
tt0315327,.,0,9
tt1392170,I-1029,1,5
tt1411697,I-1027,1,9
tt0117060,.,0,9
tt4116284,.,0,9
tt2510894,I-1060,1,19
tt0103776,.,0,9
tt0120616,.,0,9
tt0327084,.,0,19
tt0275847,.,0,19
tt0120647,.,0,9
tt2191701,.,0,19
tt1615918,.,0,19
tt0425061,.,0,19
tt0358082,.,0,19
tt1130884,.,0,21
tt0337741,.,0,6
tt0369436,.,0,19
tt0119094,.,0,6
tt0960731,.,0,19
tt0257044,.,0,21
tt1564367,.,0,19
tt0287978,.,0,9
tt1059786,.,0,18
tt0118880,.,0,19
tt1302067,.,0,13
tt0159365,.,0,6
tt1037705,.,0,6
tt0119137,.,0,19
tt0171363,.,0,19
tt0117705,.,0,19
tt2713180,.,0,21
tt6182908,.,0,18
tt0383216,.,0,19
tt1222817,.,0,18
tt0970416,.,0,18
tt0118883,.,0,6
tt0120828,.,0,19
tt0166813,.,0,19
tt0244244,.,0,19
tt0120738,.,0,18
tt0368008,.,0,6
tt0374536,.,0,19
tt0268695,.,0,18
tt0120889,.,0,6
tt0120751,.,0,13
tt0386140,.,0,18
tt0185431,.,0,13
tt0986263,.,0,13
tt0251075,.,0,13
tt0355295,.,0,1
tt0116996,.,0,23
tt0405469,.,0,7
tt1762399,.,0,7
tt0146309,.,0,6
tt0116040,.,0,6
tt1618442,.,0,18
tt1921064,.,0,1
tt0318155,.,0,7
tt0875034,.,0,20
tt0300556,.,0,13
tt0120595,.,0,19
tt0119925,.,0,6
tt0199753,.,0,13
tt0427392,.,0,13
tt0318081,.,0,12
tt0110357,.,0,2
tt1397514,.,0,19
tt0810913,.,0,19
tt0268978,.,0,21
tt1985966,.,0,18
tt0289765,.,0,6
tt0317648,.,0,18
tt0311429,.,0,18
tt0204313,.,0,1
tt1754656,.,0,3
tt3766354,.,0,18
tt1690953,I-1036,1,9
tt0322259,.,0,19
tt0206634,.,0,21
tt0131704,.,0,7
tt2709768,I-1074,1,9
tt0116629,.,0,5
tt2709692,.,0,9
tt3470600,I-1081,1,19
tt3469046,I-1087,1,9
tt0119567,.,0,9
tt0438097,.,0,9
tt0351283,.,0,9
tt1375670,.,0,19
tt0307453,.,0,19
tt0120903,.,0,9
tt0493464,.,0,9
tt0117500,.,0,6
tt0343660,.,0,19
tt0427327,.,0,6
tt1670345,.,0,19
tt0443489,.,0,10
tt4575576,.,0,18
tt0141369,.,0,19
tt1253864,.,0,18
tt0362227,.,0,6
tt0360486,.,0,6
tt0385880,.,0,19
tt0190865,.,0,18
tt0472062,.,0,23
tt0123964,.,0,6
tt0377471,.,0,13
tt0408306,.,0,21
tt1103153,.,0,13
tt1638355,.,0,18
tt0314353,.,0,6
tt0452637,.,0,18
tt0371246,.,0,6
tt0219965,.,0,23
tt0166485,.,0,6
tt0113071,.,0,6
tt0978764,.,0,18
tt0340163,.,0,1
tt3062096,.,0,18
tt0329717,.,0,13
tt0120913,.,0,13
tt0377062,.,0,13
tt0120157,.,0,13
tt0120458,.,0,7
tt0166276,.,0,13
tt2293640,I-1055,1,5
tt2279373,I-1046,1,19
tt0217869,.,0,6
tt0415306,.,0,19
tt1985949,.,0,19
tt0120832,.,0,6
tt0120184,.,0,13
tt0462538,.,0,9
tt0770752,.,0,23
tt1201167,.,0,6
tt0431197,.,0,6
tt0240462,.,0,19
tt0112573,.,0,21
tt0418763,.,0,6
tt0132245,.,0,7
tt0268995,.,0,7
tt0338512,.,0,1
tt0368447,.,0,9
tt0118998,.,0,19
tt0286106,.,0,9
tt0298148,.,0,5
tt0317219,.,0,9
tt1231580,.,0,19
tt0096438,.,0,21
tt0163187,.,0,19
tt0295701,.,0,9
tt0117438,.,0,6
tt0361748,.,0,8
tt0102057,.,0,6
tt0099423,.,0,6
tt0257076,.,0,19
tt5657846,.,0,19
tt0162661,.,0,6
tt0259711,.,0,6
tt0119282,.,0,6
tt2302755,.,0,19
tt1217613,.,0,18
tt1568911,.,0,18
tt0277434,.,0,6
tt2177771,.,0,23
tt4624424,.,0,19
tt0120844,.,0,7
tt0319061,.,0,21
tt0111742,.,0,6
tt1496025,.,0,13
tt3014284,.,0,18
tt0829150,.,0,1
tt0406816,.,0,6
tt0096754,.,0,0
tt1578275,.,0,23
tt0398375,.,0,13
tt0133952,.,0,6
tt0486655,.,0,18
tt1336608,.,0,18
tt0120102,.,0,6
tt0346156,.,0,13
tt0476964,.,0,13
tt0297181,.,0,23
tt0280486,.,0,13
tt0419706,.,0,1
tt2025690,.,0,13
tt1211956,.,0,1
tt1448755,.,0,23
tt0120696,.,0,13
tt0251114,.,0,13
tt0246894,.,0,7
tt1043726,.,0,12
tt0435705,.,0,23
tt0308208,.,0,12
tt0181739,.,0,7
tt2717822,.,0,1
tt0430912,.,0,13
tt1323594,I-1025,1,21
tt0427152,.,0,19
tt2873282,.,0,18
tt1325004,I-1024,1,9
tt0164184,.,0,19
tt2637276,.,0,19
tt0227445,.,0,6
tt0480687,.,0,13
tt0113845,.,0,13
tt0285531,.,0,13
tt0132347,.,0,13
tt0140352,.,0,6
tt1389072,.,0,23
tt0758774,.,0,6
tt1611224,.,0,18
tt0116830,.,0,23
tt0462396,.,0,1
tt0137494,.,0,6
tt2369135,.,0,18
tt0120815,.,0,2
tt0207201,.,0,19
tt0443272,.,0,8
tt0268380,.,0,21
tt0112384,.,0,21
tt0133093,.,0,2
tt5220122,.,0,19
tt1707386,.,0,8
tt0304669,.,0,19
tt0100802,.,0,21
tt0128853,.,0,6
tt1809398,.,0,18
tt3079380,I-1052,1,18
tt1231583,.,0,19
tt0838283,.,0,19
tt0113497,.,0,19
tt0120746,.,0,6
tt0186566,.,0,6
tt1823664,.,0,23
tt0106582,.,0,6
tt2788732,.,0,18
tt0115759,.,0,6
tt0469641,.,0,6
tt0219854,.,0,7
tt0304415,.,0,13
tt1645170,.,0,1
tt0120663,.,0,6
tt1596350,.,0,13
tt2381941,.,0,1
tt0359013,.,0,13
tt1234719,.,0,1
tt0758794,.,0,6
tt2719848,.,0,1
tt1855325,.,0,13
tt0119942,.,0,6
tt0137523,.,0,21
tt0452608,.,0,13
tt0116908,.,0,1
tt0228750,.,0,23
tt0406375,.,0,13
tt0338188,.,0,6
tt0357277,.,0,18
tt0375568,.,0,13
tt1418377,.,0,13
tt0102070,.,0,13
tt0458481,.,0,1
tt2361317,.,0,23
tt0219952,.,0,23
tt0380599,.,0,17
tt0430304,.,0,7
tt0396171,.,0,10
tt0107290,.,0,2
tt0295178,.,0,9
tt1411704,.,0,18
tt1961175,.,0,1
tt0111756,.,0,6
tt0109444,.,0,6
tt0141926,.,0,19
tt0112346,.,0,6
tt3460252,.,0,8
tt0811138,.,0,7
tt0233142,.,0,13
tt2267998,.,0,8
tt0445934,.,0,19
tt4046784,.,0,18
tt1272878,.,0,23
tt4500922,.,0,18
tt4701660,.,0,3
tt0290002,.,0,9
tt1490017,.,0,2
tt0486946,.,0,19
tt0822832,.,0,19
tt0120689,.,0,21
tt0120382,.,0,21
tt3263904,.,0,19
tt0258463,.,0,21
tt1078940,.,0,19
tt0113189,.,0,6
tt0317740,.,0,6
tt0317303,.,0,19
tt0144214,.,0,19
tt0120794,.,0,6
tt0369339,.,0,21
tt0239395,.,0,19
tt0313737,.,0,7
