antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"['I-1041', 'I-1051']",['I-1012'],0.19722425127830534,0.42111029948867784,0.1110299488677867,0.562962962962963,1.336853939802769,0.027976785345549288,1.3245781282886187
"['I-1054', 'I-1057']",['I-1042'],0.20306793279766253,0.44777209642074506,0.11431701972242513,0.5629496402877697,1.2572235849167321,0.023388865737788797,1.2635338040743447
"['I-1009', 'I-1050']",['I-1007'],0.18298027757487217,0.4039444850255661,0.10299488677867057,0.562874251497006,1.3934445755866205,0.02908101278385368,1.3635790548045268
"['I-1012', 'I-1067']",['I-1057'],0.19466764061358657,0.4390065741417093,0.1095690284879474,0.5628517823639775,1.282103311241739,0.02410865448592729,1.2833025578646735
['I-1006'],['I-1007'],0.4010226442658875,0.4039444850255661,0.22571219868517164,0.5628415300546448,1.3933635707862724,0.06372131316359692,1.3634769905040174
"['I-1047', 'I-1041']",['I-1066'],0.20635500365230094,0.4130752373995617,0.11614317019722425,0.5628318584070797,1.3625407854275724,0.03090302807496262,1.3425606917783308
"['I-1047', 'I-1057']",['I-1044'],0.21219868517165816,0.44448502556610664,0.11943024105186267,0.5628227194492255,1.2662355019326041,0.025111103048243988,1.2706858273468191
"['I-1065', 'I-1045']",['I-1016'],0.21219868517165816,0.40175310445580714,0.11943024105186267,0.5628227194492255,1.4009169144108904,0.03417876052270856,1.368430890988882
"['I-1008', 'I-1047']",['I-1009'],0.197954711468225,0.3966398831263696,0.11139517896274653,0.5627306273062731,1.4187444360631454,0.032878445341675555,1.379836216647712
['I-1016'],['I-1042'],0.40175310445580714,0.44777209642074506,0.22607742878013148,0.5627272727272727,1.2567269761233872,0.04618359895441215,1.2628912555866538
"['I-1018', 'I-1010']",['I-1002'],0.1778670562454346,0.3575602629656684,0.10007304601899196,0.5626283367556468,1.5735203126015944,0.036474854614945026,1.4688645630784951
"['I-1052', 'I-1053']",['I-1045'],0.189554419284149,0.44485025566106645,0.10664718772826881,0.5626204238921002,1.2647411499315029,0.022323855848030136,1.2692630718586189
"['I-1048', 'I-1053']",['I-1057'],0.189554419284149,0.4390065741417093,0.10664718772826881,0.5626204238921002,1.2815763066693597,0.023431551504913398,1.2826237357729202
"['I-1048', 'I-1051']",['I-1057'],0.189554419284149,0.4390065741417093,0.10664718772826881,0.5626204238921002,1.2815763066693597,0.023431551504913398,1.2826237357729202
['I-1010'],['I-1045'],0.408327246165084,0.44485025566106645,0.22972972972972974,0.5626118067978534,1.2647217791564225,0.048085249879812914,1.2692380657892184
['I-1010'],['I-1043'],0.408327246165084,0.443754565376187,0.22972972972972974,0.5626118067978534,1.2678445489815,0.04853265007648758,1.2717431409190656
"['I-1042', 'I-1066']",['I-1057'],0.21621621621621623,0.4390065741417093,0.12162162162162163,0.5625,1.281301996672213,0.026701281266657453,1.282270687676093
"['I-1048', 'I-1056']",['I-1041'],0.18115412710007306,0.42658875091307524,0.10189919649379109,0.5625,1.3186001712328768,0.024620883691422443,1.3106542836272566
"['I-1052', 'I-1055']",['I-1044'],0.18699780861943024,0.44448502556610664,0.10518626734842951,0.5625,1.2655094494658998,0.022068541603416134,1.2697485129917563
"['I-1042', 'I-1051']",['I-1006'],0.21365960555149743,0.4010226442658875,0.12016070124178233,0.5623931623931624,1.4023975215232045,0.03447836125071432,1.3687568480642804
"['I-1015', 'I-1057']",['I-1008'],0.17859751643535426,0.4218407596785975,0.10043827611395179,0.5623721881390593,1.333138572402376,0.025098564104151136,1.3211208809213355
"['I-1015', 'I-1057']",['I-1045'],0.17859751643535426,0.44485025566106645,0.10043827611395179,0.5623721881390593,1.2641831290022532,0.020989125267252925,1.2685431073913014
"['I-1045', 'I-1050']",['I-1057'],0.21694667640613585,0.4390065741417093,0.12198685171658144,0.5622895622895623,1.2808226468792192,0.02674583453609375,1.281654211383941
"['I-1048', 'I-1042']",['I-1057'],0.21110299488677867,0.4390065741417093,0.11869978086194302,0.5622837370242214,1.2808093776807972,0.026024178285643546,1.2816371547276364
"['I-1008', 'I-1066']",['I-1041'],0.20525931336742148,0.42658875091307524,0.1154127100073046,0.5622775800711743,1.318078779310681,0.027851395904620782,1.3099883007595596
"['I-1008', 'I-1048']",['I-1042'],0.19941563184806427,0.44777209642074506,0.11212563915266618,0.5622710622710624,1.2557081309120464,0.02283288362099095,1.2615750433233193
"['I-1058', 'I-1012']",['I-1006'],0.19357195032870708,0.4010226442658875,0.10883856829802775,0.5622641509433962,1.4020758153761554,0.031211832921504604,1.3683534419787915
"['I-1013', 'I-1045']","['I-1044', 'I-1043']",0.23776479181884588,0.26442658875091307,0.13367421475529584,0.5622119815668203,2.1261552562568427,0.07080288192956742,1.6802045288531775
"['I-1052', 'I-1047']",['I-1057'],0.1968590211833455,0.4390065741417093,0.11066471877282688,0.562152133580705,1.280509602116448,0.024242314294236192,1.2812519344814353
"['I-1054', 'I-1010']",['I-1009'],0.17932797662527392,0.3966398831263696,0.10080350620891161,0.5621181262729125,1.417200211542573,0.02967487851897463,1.3779061273718725
"['I-1013', 'I-1006']","['I-1044', 'I-1045']",0.22352081811541272,0.27574872169466763,0.1256391526661797,0.5620915032679739,2.0384192529108773,0.06400357279870833,1.6538872474733708
['I-1044'],['I-1041'],0.44448502556610664,0.42658875091307524,0.2498173849525201,0.5620377978635991,1.3175166871151835,0.06020507309670836,1.3092710884405019
"['I-1048', 'I-1047']",['I-1042'],0.19430241051862673,0.44777209642074506,0.10920379839298758,0.5620300751879699,1.255169939530719,0.02220060069545786,1.2608808785586423
"['I-1048', 'I-1047']",['I-1041'],0.19430241051862673,0.42658875091307524,0.10920379839298758,0.5620300751879699,1.3174985837882376,0.026316575790447022,1.3092480022070556
"['I-1044', 'I-1045', 'I-1041']",['I-1049'],0.18845872899926955,0.40540540540540543,0.10591672753834916,0.562015503875969,1.3863049095607234,0.02951454010621285,1.3575699593398707
"['I-1066', 'I-1045']",['I-1047'],0.22096420745069395,0.4024835646457268,0.1241782322863404,0.5619834710743802,1.396289241199322,0.03524377041246722,1.3641412958088126
"['I-1056', 'I-1045']",['I-1007'],0.20343316289262237,0.4039444850255661,0.11431701972242513,0.5619389587073608,1.3911291762574627,0.03214131550064267,1.3606677124621296
"['I-1012', 'I-1051']",['I-1066'],0.19758948137326515,0.4130752373995617,0.1110299488677867,0.5619223659889094,1.3603390257096677,0.029410626941868925,1.3397734032356
"['I-1056', 'I-1041']",['I-1010'],0.19758948137326515,0.408327246165084,0.1110299488677867,0.5619223659889094,1.3761569213574545,0.030348780067454187,1.350611644829914
"['I-1012', 'I-1051']",['I-1041'],0.19758948137326515,0.42658875091307524,0.1110299488677867,0.5619223659889094,1.3172460942445496,0.026740498815203184,1.3089261002363979
"['I-1066', 'I-1058']",['I-1044'],0.19174579985390797,0.44448502556610664,0.10774287801314829,0.5619047619047619,1.2641702860273116,0.022514741262890436,1.2680233112078
"['I-1010', 'I-1053']",['I-1009'],0.18590211833455075,0.3966398831263696,0.10445580715850986,0.5618860510805501,1.4166151085253649,0.03071961266934911,1.3771762308909323
"['I-1013', 'I-1053']",['I-1047'],0.18590211833455075,0.4024835646457268,0.10445580715850986,0.5618860510805501,1.3960471940640165,0.029633259896028136,1.363837962310875
"['I-1054', 'I-1055']",['I-1043'],0.18005843681519357,0.443754565376187,0.10116873630387144,0.5618661257606491,1.2661641582984833,0.02126698293262959,1.2695787003219436
"['I-1055', 'I-1058']",['I-1045'],0.18005843681519357,0.44485025566106645,0.10116873630387144,0.5618661257606491,1.2630455273667136,0.021069694652700602,1.2670778886995102
"['I-1043', 'I-1067']",['I-1006'],0.21256391526661797,0.4010226442658875,0.11943024105186267,0.5618556701030928,1.4010572174337597,0.034187297676133474,1.3670777295578567
"['I-1049', 'I-1007']",['I-1041'],0.20087655222790357,0.42658875091307524,0.11285609934258582,0.5618181818181818,1.3170018679950186,0.02716442183995932,1.3086148838083345
"['I-1011', 'I-1012']",['I-1015'],0.1891891891891892,0.34404674945215485,0.10628195763330898,0.5617760617760618,1.632848043676069,0.04119203206127968,1.496844862483629
"['I-1011', 'I-1012']",['I-1041'],0.1891891891891892,0.42658875091307524,0.10628195763330898,0.5617760617760618,1.3169031311154598,0.02557597773083528,1.308489105845934
"['I-1009', 'I-1047']",['I-1041'],0.183345507669832,0.42658875091307524,0.10299488677867057,0.5617529880478088,1.3168490421874148,0.024781755676273276,1.3084202138256193
['I-1018'],['I-1008'],0.3316289262235208,0.4218407596785975,0.1862673484295106,0.5616740088105727,1.3314834944790892,0.046372750259983,1.3190165583211895
"['I-1065', 'I-1043']",['I-1010'],0.20745069393718044,0.408327246165084,0.11650840029218408,0.5616197183098591,1.3754157323187786,0.03180062972177951,1.349679213567198
"['I-1065', 'I-1043']",['I-1016'],0.20745069393718044,0.40175310445580714,0.11650840029218408,0.5616197183098591,1.3979225352112676,0.033164439981410346,1.3646756492735002
"['I-1055', 'I-1043']",['I-1012'],0.20160701241782322,0.42111029948867784,0.11322132943754565,0.5615942028985507,1.3336035798232713,0.028322540059258522,1.3204426226539248
"['I-1010', 'I-1050']",['I-1009'],0.20160701241782322,0.3966398831263696,0.11322132943754565,0.5615942028985507,1.415879307123602,0.0332559475946837,1.376259440141504
"['I-1047', 'I-1050']",['I-1044'],0.20160701241782322,0.44448502556610664,0.11322132943754565,0.5615942028985507,1.2634715920593522,0.023610031368703113,1.2671250656508641
['I-1020'],['I-1021'],0.24908692476260044,0.2574872169466764,0.13988312636961286,0.56158357771261,2.181015369896633,0.0757464273346847,1.6936244750580827
"['I-1008', 'I-1050']",['I-1042'],0.19576333089846604,0.44777209642074506,0.10993425858290723,0.5615671641791045,1.2541361301161404,0.022276901504193078,1.259549601355237
"['I-1052', 'I-1042']",['I-1057'],0.21658144631117604,0.4390065741417093,0.12162162162162163,0.5615514333895447,1.2791412850420742,0.026540942853895688,1.2794965443614092
"['I-1051', 'I-1007']",['I-1047'],0.18991964937910885,0.4024835646457268,0.10664718772826881,0.5615384615384615,1.3951835822979197,0.03020765024989848,1.3627567823869389
"['I-1065', 'I-1016']",['I-1006'],0.18991964937910885,0.4010226442658875,0.10664718772826881,0.5615384615384615,1.400266218299005,0.030485107736208356,1.3660887060602565
"['I-1052', 'I-1041']",['I-1013'],0.21073776479181885,0.40540540540540543,0.1183345507669832,0.5615251299826689,1.3850953206239165,0.032900321797326895,1.3560517038777904
"['I-1043', 'I-1047']",['I-1013'],0.21073776479181885,0.40540540540540543,0.1183345507669832,0.5615251299826689,1.3850953206239165,0.032900321797326895,1.3560517038777904
"['I-1041', 'I-1057']",['I-1010'],0.21073776479181885,0.408327246165084,0.1183345507669832,0.5615251299826689,1.3751840839826006,0.032284579606554606,1.3493880591412906
"['I-1054', 'I-1066']",['I-1057'],0.18407596785975164,0.4390065741417093,0.10336011687363039,0.5615079365079365,1.2790422047909569,0.022549556841701443,1.2793696227718485
"['I-1055', 'I-1057']",['I-1045'],0.20489408327246164,0.44485025566106645,0.11504747991234478,0.5614973262032086,1.2622164853402178,0.023900294585150375,1.2660122218461045
"['I-1055', 'I-1067']",['I-1057'],0.17823228634039445,0.4390065741417093,0.10007304601899196,0.5614754098360656,1.2789681132538664,0.021827900591251226,1.279274728125448
"['I-1044', 'I-1042', 'I-1043']",['I-1067'],0.17823228634039445,0.39883126369612854,0.10007304601899196,0.5614754098360656,1.407801897555996,0.028988438026402205,1.3708894547490154
"['I-1042', 'I-1041']",['I-1007'],0.24068663257852446,0.4039444850255661,0.13513513513513514,0.5614567526555387,1.3899354328850497,0.03791109728566543,1.3591715722081383
"['I-1058', 'I-1067']",['I-1057'],0.18736303871439006,0.4390065741417093,0.10518626734842951,0.5614035087719298,1.278804331961351,0.022932661601644685,1.2790650109569026
"['I-1042', 'I-1043', 'I-1045']",['I-1050'],0.18151935719503287,0.40613586559532505,0.10189919649379109,0.5613682092555332,1.3822177670338578,0.028177675237079425,1.3539012605464378
"['I-1048', 'I-1066']",['I-1044'],0.1964937910883857,0.44448502556610664,0.11029948867786706,0.5613382899628253,1.2628958405244173,0.022960940922364725,1.266385831548452
"['I-1048', 'I-1010']",['I-1047'],0.19065010956902848,0.4024835646457268,0.10701241782322864,0.5613026819923372,1.3945977706851356,0.030278882123787668,1.3620243635586493
"['I-1008', 'I-1058']",['I-1009'],0.19065010956902848,0.3966398831263696,0.10701241782322864,0.5613026819923372,1.4151443308425593,0.031392980645739615,1.3753448952315945
"['I-1044', 'I-1007']","['I-1043', 'I-1045']",0.2264426588750913,0.26040905770635503,0.127100073046019,0.5612903225806453,2.155417816585984,0.06813235362383488,1.685832294934044
