movie_id,income_opening,votes,income_usa,income_int,income_ww
tt1127896,3457760,27691,7460204,2606162,10066366
tt0092804,318723,11826,5899797,20000000,25899797
tt10059518,.,0,.,.,.
tt0140397,1851291,8660,4555459,0,4555459
tt0366627,2723682,105265,6301131,9151847,15452978
tt0103639,196664,345797,217350219,286700000,504050219
tt0087469,25337110,422936,179880271,153200000,333080271
tt1398426,60200180,170367,161197785,40985196,202182981
tt3564472,31201920,31753,115108515,25777838,140886353
tt0134067,27321470,17230,100494685,40400000,140894685
tt0095016,601851,748952,81350242,57759104,139109346
tt0164334,16712407,71463,74058698,31100387,105159085
tt6359956,16759161,38041,72110659,55599891,127710550
tt1702439,21401594,99610,71399120,22651831,94050951
tt1596363,705527,329650,70259870,62902882,133162752
tt3387520,20915346,41894,68947075,26660285,95607360
tt0430922,19167085,214458,67300955,27199871,94500826
tt1698641,18360230,38617,66954149,34425138,101379287
tt0349825,19377577,44974,64378093,96612,64474705
tt1204975,16334566,124058,63914167,49000000,112914167
tt0209475,13510293,72530,60400856,34327673,94728529
tt0363547,26722575,225770,58990765,44462110,103452875
