movie_id,prd_company
tt0454876,"Fox 2000 Pictures, Dune Entertainment, Ingenious Media, Haishang Films, Gil Netter Productions, Big Screen Prods, Ingenious Film Partners"
tt0259324,"Relativity Media, Columbia Pictures, Crystal Sky Pictures"
tt2231461,"New Line Cinema, Seven Bucks Productions, Flynn Picture Company, ASAP Films, Wrigley Pictures"
tt0305357,"Columbia Pictures, Leonard Goldberg, Flower Films, Tall Trees, Wonderland Sound and Vision"
tt1535108,"Tri-Star Pictures, Media Rights Capital, QED International, Alphacore, Kinberg Genre"
tt1483013,"Universal Pictures, Relativity Media, Chernin Entertainment, Monolith Pictures, Radical Studios"
tt3717490,"Lionsgate, Temple Hill Entertainment"
tt0243585,"Columbia Pictures, Red Wagon Entertainment"
tt1234721,Orion Pictures
tt0296572,"Radar Pictures, One Race Films"
tt3113456,"MARV Films, Kinberg Genre, Robert Kulzer, Constantin Film, Marvel Studios"
tt0811080,Warner Bros.
tt0399201,.
tt1341188,Gracie Films
tt1013743,"20th Century Fox, Regency Enterprises, Pink Machine, Todd Garner, Tree Line Film, New Regency"
tt1270797,"Miramax Films, Dimension Films, Outerbanks Entertainment"
tt0198781,"Walt Disney Pictures, Disney-Pixar"
tt1430132,"20th Century Fox, Marvel Studios, Donnersâ? Company, TSG Entertainment, Ingenious Media"
tt0118928,Pacific Western Productions
tt2381991,"Universal Pictures, perfect world (Beijing) Pictures Co, Roth Films"
tt0245562,Metro-Goldwyn-Mayer Pictures
tt1320261,"Davis Entertainment, Dune Entertainment, Ingenious Media, Big Screen Prods, Phoenix Pictures"
tt3411444,"Blue Sky Studios, 20th Century Fox Animation, Davis Entertainment"
tt5463162,"Marvel Studios, Donnersâ? Company, Twentieth Century Fox, Kinberg Genre, Maximum Effect "
tt1454468,"Warner Bros., Esperanto Filmoj, Heyday Films"
tt0477347,"20th Century Fox, Ingenious Film Partners, 1492 Pictures, 21 Laps Entertainment"
tt2126355,"FPS, New Line Cinema, Village Roadshow Productions, RatPac Entertainment, Dune Entertainment"
tt0472181,"Sony Pictures Animation, Kerner Entertainment Company"
tt0337978,"20th Century Fox, Dune Entertainment, Ingenius Film Partners"
tt0349903,Warner Bros.
tt0120347,"Eon Productions, Metro-Goldwyn-Mayer Pictures, United Artists"
tt0187393,"Columbia Pictures, Mutual Film Company, Centropolis Entertainment"
tt1253863,"Cruel and Unusual Films, Mark Canton, Gianni Nunnari"
tt0338751,"Forward Pass, Initial Entertainment Group"
