movie_id,release_date,genre,country,language
tt5013056,21-Jul-17,"Action, Drama, History, Thriller, War","UK, Netherlands, France, USA",english
tt0800369,06-May-11,"Action, Adventure, Fantasy",USA,english
tt0479952,07-Nov-08,"Animation, Adventure, Comedy, Family",USA,english
tt0458525,01-May-09,"Action, Adventure, Sci-Fi","USA, UK",english
tt1078912,22-May-09,"Adventure, Comedy, Family, Fantasy","USA, Canada",english
tt1302011,26-May-11,"Animation, Action, Adventure, Comedy, Family, Fantasy",USA,english
tt1392190,15-May-15,"Action, Adventure, Sci-Fi, Thriller","Australia, USA, South Africa",english
tt5884052,10-May-19,"Action, Adventure, Comedy, Family, Mystery, Sci-Fi","USA, Japan, UK, Canada",english
tt0242653,05-Nov-03,"Action, Sci-Fi",USA,english
tt1677720,29-Mar-18,"Action, Adventure, Sci-Fi","USA, India",english
tt0371606,04-Nov-05,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi",USA,english
tt0317919,05-May-06,"Action, Adventure, Thriller","USA, Germany, China, Italy",english
tt0808151,15-May-09,"Action, Mystery, Thriller","USA, Italy",english
tt0332452,14-May-04,"Drama, History","USA, Malta, UK",english
tt0938283,01-Jul-10,"Action, Adventure, Family, Fantasy",USA,english
tt0389790,02-Nov-07,"Animation, Adventure, Comedy, Family","USA, Australia",english
tt0436339,24-Jul-09,"Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",USA,english
tt0397892,21-Nov-08,"Animation, Adventure, Comedy, Drama, Family",USA,english
tt1646987,30-Mar-12,"Action, Adventure, Fantasy","Spain, USA",english
tt0442933,16-Nov-07,"Animation, Action, Adventure, Fantasy","USA, UK",english
tt1077368,11-May-12,"Comedy, Fantasy, Horror","USA, Australia, UK",english
tt2334879,28-Jun-13,"Action, Drama, Thriller",USA,english
tt0780653,12-Feb-10,"Drama, Fantasy, Horror, Thriller",USA,english
tt2034800,17-Feb-17,"Action, Adventure, Fantasy, Thriller","USA, China, Hong Kong, Australia, Canada","english, mandarin"
tt3332064,09-Oct-15,"Adventure, Comedy, Family, Fantasy","USA, UK, Australia",english
tt1305591,11-Mar-11,"Animation, Action, Adventure, Family, Sci-Fi",USA,english
tt6304710,01-Jan-06,Drama,Australia,english
tt0424095,03-Nov-06,"Animation, Adventure, Comedy, Family, Fantasy","UK, USA",english
tt1277953,08-Jun-12,"Animation, Adventure, Comedy, Family",USA,english
tt1229238,21-Dec-11,"Action, Adventure, Thriller","USA, United Arab Emirates, Czech Republic, India, Canada","arabic, english, hindi, russian, swedish"
tt1646971,13-Jun-14,"Animation, Action, Adventure, Family, Fantasy",USA,english
tt0120855,18-Jun-99,"Animation, Adventure, Family, Romance",USA,english
tt0864835,07-Mar-14,"Animation, Adventure, Comedy, Family, Sci-Fi",USA,english
tt1446192,21-Nov-12,"Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",USA,english
tt0318649,08-Apr-05,"Action, Adventure, Comedy, Thriller, War, Western","UK, Spain, Germany, USA","arabic, english, french"
tt1289401,15-Jul-16,"Action, Comedy, Fantasy, Sci-Fi","USA, Australia",english
tt0246460,22-Nov-02,"Action, Adventure, Thriller","UK, USA",english
tt0796366,08-May-09,"Action, Adventure, Sci-Fi","USA, Germany",english
tt0120591,01-Jul-98,"Action, Adventure, Sci-Fi, Thriller",USA,english
tt0458339,22-Jul-11,"Action, Adventure, Sci-Fi",USA,english
tt2267968,29-Jan-16,"Animation, Action, Adventure, Comedy, Family, Fantasy","China, USA",english
tt0122151,10-Jul-98,"Action, Crime, Thriller",USA,"English, Cantonese, Mandarin"
tt1583421,28-Mar-13,"Action, Adventure, Sci-Fi, Thriller",USA,english
