movie_id,reviews_users,reviews_critics
tt0814255,470,226
tt1790886,185,261
tt0477080,357,323
tt0119116,845,205
tt0138749,157,76
tt0380510,679,313
tt2638144,262,225
tt1121096,181,186
tt0266543,943,148
tt0167260,3626,351
tt0167261,2528,321
tt0146316,845,209
tt5026378,2,.
tt0163025,1293,222
tt1318514,703,558
tt0416236,143,193
tt0317705,930,237
tt1606378,552,428
tt0318974,304,100
tt0112760,183,68
tt0359950,632,377
tt2283362,854,309
tt0119654,339,159
tt0120363,590,214
tt0266915,402,134
tt0988045,684,423
tt1080016,144,182
tt1502397,800,213
tt0161081,693,197
tt1436562,206,241
tt7131622,4772,592
tt0407887,2268,288
tt0160127,657,195
tt0120762,291,137
tt3794354,848,219
tt0942385,624,327
tt1568346,711,535
tt0118884,688,169
tt0960144,414,204
tt0112864,378,166
tt2404435,479,381
tt2974918,70,73
tt0230011,313,145
tt0985699,463,175
tt2120120,448,282
tt0338094,188,133
tt0164052,648,176
tt0373926,419,230
tt1854564,227,192
tt0325703,328,168
tt3110958,330,284
tt0266987,386,93
tt0120053,191,57
tt0183523,978,192
tt1365519,1225,400
tt0182789,387,104
tt0349683,920,180
tt0120461,206,94
tt0118972,125,70
tt0267626,286,126
tt0816462,365,331
tt1509767,291,234
tt7232438,8,13
tt1041804,38,50
tt5519340,939,160
tt0478855,30,24
tt0117998,417,129
tt0352248,587,212
tt3829266,2511,403
tt0120667,1023,111
tt0212985,1390,285
tt0329575,469,164
tt0162222,1157,232
tt0366548,573,207
tt0240772,924,206
tt0372183,838,247
tt0118571,418,135
tt1013752,262,245
tt0451079,160,194
tt1840309,789,472
tt0837562,217,274
tt0448115,1966,367
tt0461770,418,229
tt1599348,310,302
tt0496806,312,251
tt1230414,234,190
tt0120660,447,87
tt0400717,112,107
tt0471042,214,237
tt0211181,83,88
tt1667353,223,388
tt0457939,555,169
tt0463985,429,177
tt0397535,573,228
tt0215750,696,194
tt0107362,297,114
tt0327850,266,157
tt1430607,102,203
tt1293847,371,279
tt0119643,784,101
tt1287468,65,93
tt0233469,326,140
tt0284490,170,102
tt0113492,257,116
tt0443706,732,406
tt0446029,641,417
tt0298814,517,154
tt1804538,.,.
tt1485796,1763,328
tt0267913,544,142
tt0144528,183,97
tt1821694,223,248
tt0389860,765,180
tt0413895,111,117
tt0489099,515,239
tt0411477,373,363
tt0398165,335,139
tt1320253,762,439
tt7713068,1794,345
tt0216216,303,158
tt0315327,637,194
tt1392170,2021,685
tt1411697,411,388
tt0117060,437,189
tt4116284,324,395
tt2510894,156,180
tt0103776,674,194
tt5113040,273,151
tt0120616,1044,123
tt0327084,286,162
tt0275847,389,196
tt0120647,531,135
tt2191701,303,140
tt1615918,67,90
tt0425061,434,270
tt0358082,286,165
tt1130884,1207,530
tt0337741,413,148
tt0369436,150,146
tt0119094,602,160
tt0960731,132,149
tt0257044,1057,217
tt1564367,255,205
tt0287978,1051,286
tt1059786,352,214
tt0118880,392,129
tt1302067,111,146
tt0159365,694,171
tt1037705,644,326
tt0119137,76,59
tt0171363,828,173
tt0117705,179,65
tt2713180,895,431
tt6182908,213,123
tt0383216,450,150
tt1222817,135,181
tt0970416,757,282
tt0118883,170,86
tt0120828,176,104
tt0166813,248,110
tt0244244,553,162
tt0120738,396,114
tt0368008,378,203
tt5649074,.,.
tt0374536,516,172
tt0268695,655,129
tt0120889,669,124
tt0120751,93,40
tt2935510,2699,407
tt0386140,255,129
tt0185431,250,88
tt0986263,274,274
tt0251075,432,158
tt0355295,509,244
tt0116996,444,137
tt0405469,167,105
tt1762399,78,115
tt0146309,335,170
tt0116040,107,68
tt1618442,182,221
tt1921064,367,285
tt0318155,170,104
tt0875034,248,207
tt0300556,472,131
tt1723746,.,.
tt0120595,226,67
tt0119925,415,84
tt0199753,352,148
tt0427392,301,237
tt0318081,312,116
tt6141246,344,126
tt0110357,962,227
tt1397514,172,181
tt0810913,347,162
tt0268978,1263,168
tt1985966,104,180
tt0289765,777,198
tt0317648,351,144
tt0311429,811,214
tt0204313,311,172
tt1754656,129,160
tt5851562,.,.
tt3766354,686,231
tt1690953,314,322
tt0322259,404,110
tt0206634,1325,318
tt0131704,200,52
tt2709768,328,289
tt0116629,925,198
tt2709692,545,183
tt3470600,263,236
tt3469046,215,261
tt0119567,637,204
tt0438097,261,73
tt0351283,407,175
tt1375670,352,182
tt0307453,314,146
tt0120903,1441,308
tt0493464,775,319
tt0117500,455,125
tt0343660,498,151
tt0427327,418,216
tt1670345,748,401
tt0443489,523,236
tt4575576,589,247
tt0141369,234,74
tt1253864,425,288
tt0362227,689,159
tt0360486,1066,294
tt0385880,270,192
tt0190865,390,136
tt0472062,312,269
tt0123964,146,62
tt6324278,228,133
tt0377471,327,163
tt0408306,854,225
tt1103153,134,144
tt1638355,465,379
tt0314353,425,98
tt0452637,1081,291
tt0371246,359,128
tt0219965,271,136
tt0166485,220,81
tt0113071,192,58
tt0978764,1009,456
tt0340163,295,146
tt3062096,392,232
tt0329717,252,133
tt0120913,395,134
tt0377062,223,118
tt0120157,392,82
tt0120458,261,97
tt0166276,173,62
tt4199898,57,71
tt8356942,.,.
tt2293640,345,338
tt2279373,174,152
tt0217869,1489,336
tt0415306,473,165
tt1985949,207,188
tt0120832,254,133
tt0120184,306,106
tt0462538,847,293
tt0770752,155,178
tt1201167,331,236
tt0431197,323,236
tt0240462,79,91
tt0112573,1240,154
tt0418763,686,272
tt0132245,346,114
tt0268995,387,118
tt0338512,132,91
tt0368447,2053,283
tt0118998,107,78
tt0286106,2405,224
tt0298148,532,199
tt0317219,657,264
tt1231580,104,107
tt7349950,2090,409
tt0096438,275,137
tt0163187,259,105
tt0295701,747,191
tt0117438,175,84
tt0361748,1792,525
tt0102057,404,89
tt0099423,358,160
tt0257076,345,148
tt5657846,222,145
tt0162661,1020,266
tt0259711,1283,152
tt0119282,203,95
tt2302755,783,383
tt1217613,864,359
tt1568911,537,404
tt0277434,764,150
tt2177771,436,384
tt4624424,113,140
tt0120844,530,173
tt0319061,864,250
tt0111742,154,82
tt1496025,295,253
tt3014284,115,133
tt0829150,511,279
tt0406816,288,140
tt0096754,426,102
tt1578275,146,186
tt0398375,213,108
tt0133952,295,122
tt0486655,551,244
tt1336608,393,364
tt0120102,141,58
tt0346156,633,203
tt0476964,302,185
