votes
"17,548"
"87,654"
"297,351"
"128,457"
"149,266"
"91,447"
"26,339"
"121,981"
"89,861"
"102,104"
"99,797"
"13,016"
"34,666"
"52,330"
"118,066"
"75,841"
"117,754"
"42,141"
"97,207"
"218,416"
"299,017"
"68,305"
"200,106"
"16,763"
"146,317"
"88,627"
"86,520"
"70,199"
"122,112"
"48,692"
"45,833"
"82,098"
"144,196"
"130,356"
"12,381"
"46,618"
"57,430"
"87,151"
"23,422"
"64,583"
"241,137"
"46,984"
"79,635"
"49,577"
"124,222"
"51,654"
"35,546"
"110,783"
"36,535"
"65,209"
"149,143"
"46,364"
"58,141"
"39,641"
"69,607"
"40,187"
"58,456"
"67,472"
"16,663"
"40,059"
"50,160"
"18,458"
"36,963"
"20,741"
"4,252"
"63,372"
"25,601"
"40,900"
"9,086"
"12,566"
"857,421"
"416,918"
"76,186"
"116,229"
"34,630"
"32,421"
"95,205"
"183,551"
"20,395"
"30,283"
"192,706"
"35,999"
"112,611"
"156,635"
"85,866"
"312,334"
0
"88,176"
"43,196"
"31,885"
"126,630"
"193,326"
"83,346"
"67,645"
"665,555"
"1,692,364"
"72,345"
"409,760"
"285,405"
"299,772"
"420,298"
"159,850"
"152,523"
"105,324"
"85,936"
"400,211"
"67,808"
"186,973"
"191,753"
"314,571"
"48,954"
"112,772"
"147,670"
"81,076"
"96,118"
"146,986"
"43,918"
"109,651"
"90,775"
"54,207"
"168,962"
"64,009"
190
"91,336"
"97,295"
"115,032"
"48,338"
"21,589"
99
"98,480"
"112,361"
"29,905"
"32,799"
"111,081"
"165,577"
"73,911"
"54,107"
"227,855"
"117,909"
"41,907"
"30,645"
"49,803"
"75,794"
"252,931"
"122,967"
"42,958"
"121,078"
"46,358"
"44,471"
"63,970"
"12,879"
"14,799"
"10,261"
46132
"22,970"
"12,688"
49
"19,731"
418
"23,086"
"76,198"
"274,962"
"336,448"
"65,532"
"45,196"
"71,011"
"73,520"
"260,243"
"160,212"
"106,009"
"257,602"
"23,688"
"113,641"
"173,445"
"6,849"
"259,076"
"762,000"
"201,954"
"120,119"
"109,133"
"433,244"
"159,476"
"165,032"
"119,604"
"108,795"
"46,628"
"214,669"
"48,143"
"21,668"
"233,532"
"254,666"
"584,108"
"551,431"
"330,632"
"171,068"
"228,876"
"101,273"
"262,196"
"98,429"
"147,549"
"161,451"
"325,801"
"130,779"
"163,936"
"91,640"
"31,081"
"197,553"
"282,778"
"89,282"
"318,030"
"240,412"
"57,488"
"69,339"
"322,380"
"51,743"
"449,754"
"117,848"
"127,087"
"40,339"
"212,925"
"88,375"
"129,659"
"340,249"
"40,254"
217
"103,050"
"52,870"
"62,552"
"43,300"
"96,502"
"14,807"
"195,663"
"188,304"
"221,972"
546
"145,303"
"122,685"
"179,356"
"61,322"
"47,908"
"54,621"
"325,111"
"70,431"
"62,057"
"168,102"
"207,011"
"54,872"
"55,975"
"125,358"
"163,935"
"72,871"
"87,841"
"52,049"
"54,377"
"100,374"
"214,377"
"21,283"
"66,087"
"34,572"
"254,015"
"30,344"
"31,437"
"13,697"
"41,143"
"88,463"
"50,933"
"74,697"
"59,715"
"61,733"
5
"99,862"
"20,738"
"107,693"
"57,274"
"97,019"
"40,346"
"88,512"
"66,202"
"19,517"
"66,858"
"170,571"
"162,758"
"66,692"
"94,368"
303
"61,095"
"47,634"
"126,933"
19-Jul-05
"104,109"
"81,636"
"71,411"
"219,212"
"42,505"
"62,336"
"11,640"
"91,720"
"18,457"
0
"63,252"
"10,894"
"22,363"
"37,775"
"17,512"
"17,248"
"8,860"
734
"2,166"
"62,031"
"67,492"
"9,204"
"15,718"
"86,707"
"220,066"
"16,588"
"87,340"
"657,314"
"307,567"
"189,615"
"244,256"
"79,721"
"83,451"
"66,653"
"146,711"
"155,658"
"39,646"
"104,914"
"277,047"
"169,981"
"92,715"
"81,703"
"15,455"
"17,915"
"210,877"
"64,058"
"54,691"
"549,401"
"145,253"
"74,397"
8
"25,774"
"76,701"
"53,404"
"13,537"
"91,964"
"120,993"
"53,159"
"113,549"
07-Aug-14
"552,811"
"48,150"
"268,132"
"254,526"
"279,971"
"72,410"
"132,153"
"176,450"
"49,887"
"107,973"
"72,630"
"70,250"
"220,925"
"56,603"
"84,365"
"97,660"
"53,912"
"368,439"
"159,103"
"141,869"
"143,092"
"234,200"
"117,554"
"115,998"
"64,603"
"90,581"
"184,002"
"24,563"
"103,199"
"407,868"
"53,897"
"59,959"
"64,573"
"44,245"
"181,156"
"177,239"
"10,846"
"117,625"
"39,470"
"110,840"
"27,004"
"123,681"
"24,815"
"89,753"
"66,594"
"35,427"
"141,317"
"114,984"
"19,913"
"103,193"
"184,868"
"91,378"
"17,389"
"49,258"
"18,052"
"4,205"
"28,798"
"51,243"
"31,182"
"11,981"
"151,122"
"12,565"
"53,752"
"27,633"
"240,909"
"96,289"
"31,816"
"15,255"
"114,367"
"17,381"
"19,342"
"21,635"
11
"4,261"
"8,835"
"550,489"
"253,660"
"147,032"
"179,786"
"56,368"
"16,267"
"294,275"
"12,793"
"156,729"
"80,037"
"42,107"
"53,008"
"35,449"
"74,974"
"145,243"
"110,766"
"490,731"
"255,619"
"63,852"
"169,459"
"121,252"
"24,531"
"136,638"
"27,525"
"31,489"
"83,160"
"36,908"
"14,438"
"104,500"
"72,785"
"88,681"
"25,345"
"39,299"
"47,232"
"284,301"
"46,583"
"20,254"
"139,994"
"24,673"
"6,141"
19
"237,424"
"93,848"
