movie_id,prd_mthd
tt5026378,live action
tt0163025,animation/live action
tt1318514,animation/live action
tt0416236,live action
tt0317705,digital animation
tt1606378,live action
tt0318974,live action
tt0112760,live action
tt0359950,live action
tt2283362,live action
tt0119654,live action
tt0120363,digital animation
tt0266915,live action
tt0988045,live action
tt1080016,digital animation
tt1502397,live action
tt0161081,live action
tt1436562,digital animation
tt7131622,live action
tt0407887,live action
tt0160127,live action
tt0120762,hand animation
tt3794354,animation/live action
tt0942385,live action
tt1568346,live action
tt0118884,live action
tt0960144,live action
tt0112864,live action
tt2404435,live action
tt2974918,animation/live action
tt0230011,hand animation
tt0985699,live action
tt2120120,animation/live action
tt0338094,live action
tt0164052,live action
tt0373926,live action
tt1854564,animation/live action
tt0325703,live action
tt3110958,live action
tt0266987,live action
tt0120053,live action
tt0183523,live action
tt1365519,live action
tt0182789,live action
tt0349683,live action
tt0120461,live action
tt0118972,live action
tt0267626,live action
tt0816462,live action
tt1509767,live action
tt7232438,live action
tt1041804,animation/live action
tt5519340,live action
tt0478855,live action
tt0117998,live action
tt0352248,live action
tt3829266,live action
tt0120667,Live Action
tt0212985,live action
tt0329575,live action
tt0162222,live action
tt0366548,digital animation
tt0240772,live action
tt0372183,live action
tt0118571,live action
tt1013752,live action
tt0451079,digital animation
tt1840309,live action
tt0837562,digital animation
tt0448115,live action
tt0461770,animation/live action
tt1599348,live action
tt0496806,live action
tt1230414,live action
tt0120660,live action
tt0400717,digital animation
tt0471042,live action
tt0211181,live action
tt1667353,live action
tt0457939,live action
tt0463985,live action
tt0397535,live action
tt0215750,live action
tt0107362,live action
tt0327850,live action
tt1430607,digital animation
tt1293847,live action
tt0119643,live action
tt1287468,live action
tt0233469,live action
tt0284490,live action
tt0113492,live action
tt0443706,live action
tt0446029,live action
tt0298814,live action
tt1804538,live action
tt1485796,live action
tt0267913,live action
tt0144528,live action
tt1821694,live action
tt0389860,live action
tt0413895,live action
tt0489099,live action
tt0411477,live action
tt0398165,live action
tt1320253,live action
tt7713068,live action
tt0216216,live action
tt0315327,live action
tt1392170,live action
tt1411697,live action
tt0117060,live action
tt4116284,digital animation
tt2510894,digital animation
tt0103776,live action
tt5113040,digital animation
tt0120616,live action
tt0327084,digital animation
tt0275847,hand animation
tt0120647,live action
tt2191701,live action
tt1615918,animation/live action
tt0425061,live action
tt0358082,digital animation
tt1130884,live action
tt0337741,live action
tt0369436,live action
tt0119094,live action
tt0960731,live action
tt0257044,live action
tt1564367,live action
tt0287978,live action
tt1059786,live action
tt0118880,live action
tt1302067,animation/live action
tt0159365,live action
tt1037705,live action
tt0119137,live action
tt0171363,live action
tt0117705,animation/live action
tt2713180,live action
tt6182908,digital animation
tt0383216,live action
tt1222817,animation/live action
tt0970416,Live Action
tt0118883,live action
tt0120828,live action
tt0166813,hand animation
tt0244244,live action
tt0120738,live action
tt0368008,live action
tt5649074,live action
tt0374536,live action
tt0268695,live action
tt0120889,live action
tt0120751,live action
tt2935510,live action
tt0386140,live action
tt0185431,live action
tt0986263,live action
tt0251075,live action
tt0355295,live action
tt0116996,live action
tt0405469,digital animation
tt1762399,animation/live action
tt0146309,live action
tt0116040,live action
tt1618442,live action
tt1921064,live action
tt0318155,live action
tt0875034,live action
tt0300556,live action
tt1723746,live action
tt0120595,live action
tt0119925,live action
tt0199753,live action
tt0427392,live action
tt0318081,live action
tt6141246,live action
tt0110357,hand animation
tt1397514,live action
tt0810913,live action
tt0268978,live action
tt1985966,digital animation
tt0289765,live action
tt0317648,live action
tt0311429,live action
tt0204313,live action
tt1754656,digital animation
tt5851562,contemporary fiction
tt3766354,live action
tt1690953,digital animation
tt0322259,live action
tt0206634,live action
tt0131704,live action
tt2709768,digital animation
tt0116629,live action
tt2709692,digital animation
tt3470600,digital animation
tt3469046,digital animation
tt0119567,animation/live action
tt0438097,digital animation
tt0351283,digital animation
tt1375670,live action
tt0307453,digital animation
tt0120903,live action
tt0493464,Live Action
tt0117500,live action
tt0343660,live action
tt0427327,live action
tt1670345,live action
tt0443489,live action
tt4575576,animation/live action
tt0141369,live action
tt1253864,live action
tt0362227,live action
tt0360486,live action
tt0385880,digital animation
tt0190865,live action
tt0472062,live action
tt0123964,live action
tt6324278,Live Action
tt0377471,live action
tt0408306,live action
tt1103153,live action
tt1638355,live action
tt0314353,live action
tt0452637,live action
tt0371246,live action
tt0219965,live action
tt0166485,live action
tt0113071,live action
tt0978764,live action
tt0340163,live action
tt3062096,Live Action
tt0329717,live action
tt0120913,digital animation
tt0377062,live action
tt0120157,live action
tt0120458,live action
tt0166276,live action
tt4199898,animation/live action
tt8356942,live action
tt2293640,digital animation
tt2279373,animation/live action
tt0217869,live action
tt0415306,live action
tt1985949,digital animation
tt0120832,live action
tt0120184,live action
tt0462538,digital animation
tt0770752,live action
tt1201167,live action
tt0431197,live action
tt0240462,live action
tt0112573,live action
tt0418763,live action
tt0132245,live action
tt0268995,live action
tt0338512,live action
tt0368447,live action
tt0118998,live action
tt0286106,live action
tt0298148,digital animation
tt0317219,digital animation
tt1231580,animation/live action
tt7349950,live action
tt0096438,animation/live action
tt0163187,live action
tt0295701,live action
tt0117438,live action
tt0361748,live action
tt0102057,live action
tt0099423,live action
tt0257076,live action
tt5657846,live action
tt0162661,live action
tt0259711,live action
tt0119282,hand animation
tt2302755,live action
tt1217613,live action
tt1568911,live action
tt0277434,live action
tt2177771,live action
tt4624424,digital animation
tt0120844,live action
tt0319061,live action
tt0111742,live action
tt1496025,live action
tt3014284,digital animation
tt0829150,live action
tt0406816,live action
tt0096754,live action
tt1578275,live action
tt0398375,live action
tt0133952,live action
tt0486655,live action
tt1336608,live action
tt0120102,live action
tt0346156,animation/live action
tt0476964,live action
tt0297181,live action
tt0280486,live action
tt0419706,live action
tt2025690,live action
tt1211956,live action
tt1448755,live action
tt0120696,live action
tt0251114,live action
tt0246894,live action
tt1043726,live action
tt0435705,live action
tt0308208,live action
tt0181739,animation/live action
tt2717822,live action
tt0430912,live action
tt1781967,historical fiction
tt1323594,digital animation
tt0427152,live action
tt2873282,live action
tt1325004,live action
tt0164184,live action
tt2637276,animation/live action
tt0227445,live action
tt0480687,live action
tt0113845,live action
tt0285531,live action
tt0132347,live action
tt0140352,live action
tt1389072,live action
tt0758774,live action
tt1611224,live action
tt0116830,live action
tt0462396,live action
tt0137494,live action
tt0365474,live action
tt2369135,live action
tt0120815,live action
tt0207201,live action
tt0443272,live action
tt0268380,digital animation
