movie_id,metascore
tt1477834,55
tt0413267,58
tt1375666,74
tt1951266,65
tt0831387,62
tt1270798,65
tt0421715,70
tt0963966,46
tt0409182,50
tt0803096,32
tt1302006,94
tt1860357,68
tt1340138,38
tt2557478,44
tt0346491,39
tt3450958,82
tt0213149,44
tt0418279,61
tt4520988,64
tt0451279,76
tt2294629,75
tt2948356,78
tt0373889,71
tt0330373,81
tt0234215,62
tt0480249,65
tt3521164,81
tt0448157,49
tt0372784,70
tt0367594,72
tt0382932,96
tt1981115,54
tt2381249,75
tt5013056,94
tt0800369,57
tt0479952,61
tt0458525,40
tt1078912,42
tt1302011,67
tt1392190,90
tt5884052,53
tt0242653,47
tt1677720,64
tt0371606,48
tt0317919,66
tt0808151,48
tt0332452,56
tt0938283,20
tt0389790,54
tt0436339,41
tt0397892,67
tt1646987,37
tt0442933,59
tt1077368,55
tt2334879,52
tt0780653,43
tt2034800,42
tt3332064,36
tt1305591,49
tt6304710,.
tt0424095,74
tt1277953,60
tt1229238,73
tt1646971,76
tt0120855,79
tt0864835,59
tt1446192,58
tt0318649,41
tt1289401,60
tt0246460,56
tt0796366,82
tt0120591,42
tt0458339,66
tt2267968,66
tt0122151,37
tt1583421,41
tt0325710,55
tt0369441,47
tt1528100,52
tt3691740,66
tt1025100,38
tt2404233,25
tt1745960,.
tt0145487,73
tt0409459,56
tt0382992,35
tt0800080,61
tt0286716,54
tt0173840,49
tt1673434,52
tt0481499,55
tt1663202,76
tt0143145,57
tt1192628,75
tt0311113,81
tt1860353,58
tt3949660,40
tt1402488,50
tt0430357,65
tt5523010,39
tt0407304,73
tt1911658,53
tt1951264,76
tt0304141,82
tt0440963,85
tt5095030,70
tt0441773,74
tt0478970,64
tt2224026,55
tt5028340,66
tt0448694,65
tt1001526,63
tt0172156,38
tt2357291,49
tt0944835,65
tt1959490,68
tt0983193,68
tt1815862,33
tt0455824,53
tt0790736,25
tt2386490,71
tt1324999,45
tt0130623,56
tt3315342,77
tt2692250,47
tt1951265,64
tt0241527,64
tt7975244,58
