prd_company,num_movies,com_dom_bo,com_wrld_bo
Alcor Films,9,319629315,481129315
Callahan Filmworks,3,318256659,488115912
Duncan Henderson Productions,1,317871467,975047606
Black Label Media,11,317300017,709955390
Sidney Kimmel Entertainment,20,316575513,577063385
Arthur Sarkissian,3,315706339,642669242
Guber-Peters,2,314938879,475098879
Hyde Park Entertainment,18,313663269,494894435
Misher Films,11,313428319,657563090
Roger Birnbaum,4,311439538,532012588
Emmett/Furla Films,13,309680505,559725032
Chartoff Winkler Productions,5,309504363,627954162
Detective Agency,1,308709423,781139244
Bernd Eichinger,3,307917818,644005490
LD Entertainment,23,307460359,414526055
TPS Company,7,306570619,312558646
Mirage,9,306009811,508819425
B23,1,304360277,1110526981
2Dux2,3,301792397,729666354
Film4,51,300794841,1035614719
Flynn Picture Company,10,300212753,1153045719
Laika,6,300158323,563364770
Fuzzy Door,3,300142125,773230770
Double Feature Films,11,298535978,519627837
Brad Grey,5,296254412,510044849
Flower Films,7,295712266,615921150
Pathe,49,294716649,860381780
Shangri-La Entertainment,6,293695373,539526939
Mayhem Pictures,6,291298205,404503456
Out of the Blue Entertainment,2,289773247,399910818
Le Grisbi,9,289112418,538961445
Lynda Obst Productions,3,289062382,863425274
Scholastic Entertainment Inc.,7,286746547,835161867
Neal H. Moritz,2,286442310,473712310
PolyGram Filmed Entertainment,11,282265579,827130246
Mark Canton,6,280911937,748266008
Steven Spielberg,3,276936489,576942849
Toho Co,15,276119299,1275813450
Protozoa Pictures,10,274697173,812480009
Esperanto Filmoj,3,274092705,694803766
Offspring Entertainment,8,273053830,726321708
Red Granite Pictures,4,272968502,448356447
Vertigo Films,23,272614227,669222452
Firm Films,6,267320265,474528845
Exclusive Media Group,12,266036687,597308455
Forward Pass,4,265903393,528002571
Dark Castle Entertainment,12,265758065,485697602
Big Talk Pictures,13,264793759,610411207
Littlestar,2,264764998,1011186898
Infinitum Nihil,7,263699720,735134214
Samuel Goldwyn Films,51,262632708,561912146
Stuber Pictures,6,262266111,498250992
Rat Entertainment,6,262041375,522448332
Nick Wechsler,7,259774149,484513159
Runteldat Entertainment,4,259063630,426362070
FilmDistrict,5,259061227,496924902
Sikelia Productions,8,258528659,722344295
See-Saw Films,17,256765870,744425129
TIK Films,6,255319342,1036894984
Four by Two Films,4,255074726,609021136
Arad Productions,5,254074965,1021542504
Moritz Borman,5,254064772,679259169
John Davis,2,254014499,429314499
Anton Capital Entertainment,19,253902058,993552108
Cold Springs Pictures,7,253538940,566025287
Hutch Parker,3,253174824,841732430
Room 101,6,251728023,576303933
Allison Shearmur,4,250642270,621841937
Endgame Entertainment,16,249904237,530945599
Tree Line Film,3,249549353,517630690
Bazmark,3,248565516,680383388
United Plankton Pictures,3,248410641,453064436
Darren Star,2,247994950,709928036
Robert Rehme,3,247886880,504780938
Katja Motion Picture Corporation,2,247095503,598020129
Zanuck/Brown,4,246638219,455638219
State Street Pictures,11,246210399,273975632
Tollin/Robbins,3,245866167,340608596
Feigco Entertainment,8,245377226,509480271
New Republic Pictures,3,243955629,516142389
Pitt Bull,1,242704995,484468608
Sahdy Acres,1,242704995,484468608
Gotham Group,12,242459865,925586362
Beijing Universe Starlight Culture Media Company,5,241930785,858114242
Josephson Entertainment,5,241875083,610901710
Why Not Productions,27,241652381,512672091
Intermedia Film,9,240967146,559121997
Rocket Pictures,4,239578701,470279918
QED International,9,237929378,638568953
Bona Film Group,11,237002144,1196208857
QC Entertainment,6,236873130,366107675
Bay Films,3,235149245,680802118
Curtis-Donen Productions,1,234770996,490359051
Carolco Pictures,2,233970952,548307175
Simon Kinberg,1,233921534,747862775
A24,31,233586920,391919773
Section Eight,6,233203528,544095992
Lawrence Bender,5,232562719,423268609
Smokehouse Pictures,6,231819337,446801152
Twisted Pictures,7,231503166,561680473
Hyayi Brothers Corp.,24,230319851,1481724194
Jim Henson Productions,6,230012047,291455854
Goldcrest Films,20,229018589,519488565
Blue Light,2,227991744,625921263
Pearl Street,10,227864744,528071177
Leonard Goldberg,2,226119873,486936090
M. Productions,2,225978492,636153396
Burg-Knoules,5,225896749,448643974
Vendian Entertainment,8,224904055,467397928
Charles B. Wessler Entertainment,4,224466858,564630401
River Road Entertainment,11,224315604,725485156
Interscope Films,7,223676887,450026017
Guillermo del Toro,3,223582629,656750015
Impact Pictures,10,223432164,1219917752
Moving Pictures,3,223271376,331085778
Wild Bunch,61,222913053,758613658
Sommers Company,3,222642322,707231868
On The Day Productions,5,221369355,268326185
Alliance Films,12,220917826,429000838
Strike Entertainment,7,220560999,623137435
Dickhouse,3,219232711,332588812
Blue Wolf,1,219195051,441286003
Mirage Enterprises,4,216699635,412511398
Queen Films,1,216303339,903526372
Live Nation Productions,2,216102710,434918828
Bill Gerber,1,215288866,434104984
Wrigley Pictures,6,215241593,626975609
Riche-Ludwig,2,214843286,519102250
Gratitude International,1,213117789,296338663
Practical Pictures,5,212664768,640917614
Provident Films,11,212410870,222645302
Conundrum Entertainment,4,212394225,425548106
Zadan/Meron,2,212338351,377843017
Aggregate Films,5,211728521,301187409
Double Dream,1,211593228,470288232
The Bedford Falls Company,4,211428369,736310575
Karz Entertainment,4,211304475,425654602
IMAX Corporation,10,210158723,289845933
Big Kid Pictures,4,208434597,452110558
Image Entertainment,8,208236506,555441803
Mr. Mudd,10,207575892,325441115
Studio Babelsberg,11,207455905,614107529
Access Entertainment,2,206869238,696668220
Kevin Feige,1,206362140,644602516
Eric's Boy,1,206040085,312383487
Mythology Entertainment,6,205957861,459506747
Lloyd Levin,3,205400050,388150793
DNA Films,15,204824891,508182402
Whitaker Entertainment,4,204281317,320423618
Zhiv,3,203615100,383279805
Ivan Reitman Production,3,201534845,317931537
Brandywine,2,200739115,640969512
Herrick Entertainment,5,200730790,283273957
Film 4,38,199458484,671215963
Dino De Laurentiis,4,198694051,456041362
